rank	username	minecraft:mined/minecraft:light_blue_concrete_powder
1	mwrty	161
2	ROY4LE	143
3	_Dean_123	131
4	claivin	124
5	TheSecondLord	119
6	LordSpeed37	111
7	SammiWolfGirl	60
8	Merv__	47
9	Mahoose	42
9	El_Jalapeno	42
11	sebastiensaborio	39
12	oxfordschool	37
13	diamondgolem35	36
14	Eraxa	32
14	lcvezra	32
16	Blaiku	30
17	Arceus1975	28
18	Rumpletaezer	25
19	beeperbeeper5	19
20	Fullut	18
21	joethahobo	17
22	the_russell1611	15
23	lordpipe	14
23	PlasticOtari	14
25	EMC_	11
26	Dreamdbr14	7
27	SteveCraftBlocks	6
28	ssleepless	5
28	noam464	5
30	pintsizedrogue	4
30	eitanzaki	4
30	TheShyPig	4
30	Miko_Fullbuster	4
30	kinas45y5	4
35	Groovy_MoonBird	3
35	ImpavidArcher	3
35	bloodbiter	3
35	gcaisawesome	3
35	Akoot_	3
35	lillips	3
35	MightyWertu	3
35	Hermanni__	3
35	RoboTramp7865	3
35	Legendosh	3
35	Sral7	3
46	Blackberry1310	2
46	500am	2
46	fr_ser	2
46	Werbe	2
46	Onennon	2
51	TheBiggestFeller	1
51	Iagoku	1
51	T045RTY	1
51	Di_infiri	1
51	Bumpy419	1
51	Chrisdeadeye	1
51	DarlaMeow	1
51	Blu3beast	1
51	Racengan	1
51	MakeHistory157	1
51	YungMaki	1
51	brofrickcheaters	1
51	Enderslayerxz3	1
51	Smoke____	1
51	h2p_emrld	1
