rank	username	minecraft:mined/minecraft:sculk_sensor
1	thewindmillman	2922
2	TheBananaKat	1532
3	k_ce	1510
4	Enderxz3	897
5	pintsizedrogue	455
6	alanbleachdemon	412
7	EMC_	410
8	ImpavidArcher	341
9	TheSecondLord	316
10	luseis	306
11	Apollo_993	267
12	Archsam	237
13	SvenskaHugo	233
14	non089	198
15	PaperCanvas	132
16	NATE_the_HALO	120
17	12Magner05	119
18	Kowcio_	112
19	hanaryheatwave	109
20	beeperbeeper5	102
21	Iamthejo	91
22	Manaateee	87
23	Hyp3rion_	84
24	Kakolbus	80
24	Segotep999	80
26	DinoDoctor_	76
27	Di_infiri	72
28	noam464	71
29	Jimb0nat0r	65
30	Mattesco	55
31	Wowful	54
32	MrKrabOnCoke	53
33	nattybears	52
34	Sleepy_Time_	49
35	Soplight	48
36	Da_Boss_Rani	40
36	MineMaster0012	40
38	ECstardust	37
39	LeonelSalamanca	35
40	500am	34
41	corvidpartyfor6	30
42	powercas_gamer	28
42	Lez_	28
42	excelsionprime	28
42	AlexxO_o	28
46	thebaddruid	27
47	Jackattack53	26
48	Luminad3	24
48	Avocadogerms	24
50	ITDV	23
51	Heisenbberrg	22
52	KeterComet	21
53	EcksD	20
54	Rebytre	18
54	ScootOfBoot	18
54	Hisiste	18
57	MAns_44	17
58	CLG_Kata	16
58	Eczbek	16
58	AdmiralSmoke	16
61	j5ylim	15
61	StinkyDiplomat	15
63	Alteriity	14
64	Mahoose	13
64	Fuad_R	13
66	Hahaa_0	12
66	YungMaki	12
68	Krowuss	11
69	diamondgolem35	10
69	Inchef	10
69	TheDankPlatypus	10
69	00000000-0000-0000-0009-01ff0c3e5e4f	10
73	iSammael	8
73	Legendosh	8
75	Silvo614	7
76	Snowflowe	6
77	q_wq	5
77	Smashic	5
77	Marbz_	5
77	SvenskaAlvar	5
77	Samificator	5
77	mihimihimihi	5
83	Racengan	4
84	H0UNDFRMH3LL	3
84	jessewegottacook	3
84	cyuar	3
84	AppleJacks	3
84	Nicserso	3
89	Mr_Byzantine	2
89	_Huge_Male_	2
89	NotRemets	2
89	Secret_Canary	2
89	Cellcorgi649	2
89	_Boipl_	2
89	oscminus	2
89	LazySupport00	2
89	UCP_TheKingK	2
98	PazinGaming	1
98	shineh10	1
98	eitanzaki	1
98	Huwulling	1
98	Dblikstad	1
98	Blackberry1310	1
98	SnowyAvi	1
98	Raspberry_Sodas	1
98	ARandomHedge	1
98	NLKBuilder	1
98	Jonafrog99	1
98	Sorry_Arey	1
98	THEKINGLyric10	1
98	wwwwinnebagoooo	1
98	StarCookiees_	1
98	Steelynan	1
98	Trioxide	1
