rank	username	minecraft:mined/minecraft:gravel
266	Quincannon	1494
267	Invisie	1482
268	_Yonk_	1477
269	SamZombie	1471
270	pixelviolin	1468
271	Typadopoulos	1462
272	WyngGoy	1461
273	mobunni	1424
274	Covalents	1422
275	6king6colt6	1403
276	_NieToksikpl_	1402
277	Wooptey	1389
278	Zaridey	1367
279	07shiny	1339
280	RedcatVII	1309
281	ShedJr_	1304
282	fffMike	1285
282	YoshikageBites	1285
284	Alexanderjac	1275
285	Strangemonkey71	1261
286	Rich_Kat	1250
287	Dogcorn69420	1234
288	Truckoss	1220
289	Scathra	1193
290	the__Reaper4999	1191
291	Kouridragon	1181
292	DC_XII	1177
293	Flores991	1170
294	_8man	1146
294	DarlaMeow	1146
296	FirsTimeGamingTV	1143
297	NormanFetus	1118
298	ImDisconnected_	1116
299	DarkS0L	1109
300	Darkgon	1103
