rank	username	minecraft:mined/minecraft:mud_brick_slab
1	MineMaster0012	280
2	12Magner05	189
3	Manaateee	124
4	EMC_	78
5	Roenfire	58
6	Archsam	33
7	Steelynan	26
8	Iamthejo	21
9	j5ylim	20
10	oscminus	16
11	Hyp3rion_	13
12	Secret_Canary	9
12	thewindmillman	9
14	Enderxz3	8
15	pintsizedrogue	7
15	Lez_	7
15	pixelviolin	7
18	Mr_Byzantine	5
18	Apollo_993	5
18	Kowcio_	5
21	Hahaa_0	4
21	Soplight	4
23	k_ce	3
23	_Huge_Male_	3
23	Jackattack53	3
23	Mattesco	3
27	jessewegottacook	2
27	_Mythic____	2
29	PazinGaming	1
29	Huwulling	1
29	TheSecondLord	1
29	Smashic	1
29	GooseWithin	1
29	luseis	1
29	Jimb0nat0r	1
