rank	username	minecraft:mined/minecraft:soul_fire
1	beeperbeeper5	687
2	Zythose	268
3	RebelAndroid	255
4	RadarHz	160
5	Eraxa	152
6	noam464	151
7	rarrq	129
8	Manaateee	109
9	Alteriity	89
10	AstreaTSS	75
11	Enderxz3	74
12	Kowcio_	73
13	djancak	68
14	eitanzaki	67
15	Winklepicker279	64
16	luseis	59
17	Iamthejo	52
18	excelsionprime	51
19	ECstardust	45
20	Killercatty78	43
20	Spacewardharpy7	43
22	PigDab	42
23	Touched_Bread	40
24	12Magner05	39
25	joethahobo	35
26	weabis	33
27	KeruNatsema	32
27	AdmiralSmoke	32
29	4774	30
29	ScootOfBoot	30
31	CliffEmAll	28
32	Paint	26
33	Mahoose	25
34	Xalithia	22
34	Spenduh	22
36	thewindmillman	21
37	TheThomas69	20
37	Wowful	20
37	StinkyDiplomat	20
37	PlasticOtari	20
41	TheShyPig	19
42	Nargotah	18
43	SingedBread	17
44	pintsizedrogue	16
44	SyntheticSurgeon	16
44	Kkanot	16
44	Razzgriz	16
48	Krowuss	14
48	AlexxO_o	14
48	DarkS0L	14
48	Segotep999	14
52	CLG_Kata	13
52	ImpavidArcher	13
52	TheSecondLord	13
52	MinttyFressh	13
52	Inchef	13
52	Jackattack53	13
52	pixelviolin	13
52	calamariclam_I	13
60	breadbowlgamer	12
61	Huwulling	11
61	thescout7	11
61	F_Uhre	11
61	Hahaa_0	11
61	Decaying_Lotus	11
61	MNMann44	11
67	Historical_Sand	10
67	kekhon	10
67	500am	10
67	MilleGrug	10
67	athereall	10
67	Quotary	10
67	Paguz01	10
74	diamondgolem35	9
74	LeonelSalamanca	9
76	Apollo_993	8
76	PazinGaming	8
76	_Magdo_	8
76	Kakolbus	8
76	DanielMmm	8
76	parodypatient	8
76	lillips	8
76	FreakGenius	8
76	StarCookiees_	8
76	Heisenbberrg	8
76	Hermanni__	8
87	shineh10	7
87	EMC_	7
87	benediktine1	7
87	CollinMH06	7
87	bluefragmentt	7
87	diggydog67	7
93	NatalieTW	6
93	Sleek_Storm_721	6
93	jushykins	6
93	set67	6
93	fade_emerge78823	6
93	shadowthemonkey	6
93	Di_infiri	6
93	oscminus	6
93	Deathkob	6
93	Blaiku	6
93	lordpipe	6
93	Druid95	6
93	IdeallyGrey	6
93	CalebDHawk	6
93	TheBananaKat	6
108	SmashingPump	5
108	MoonWatcher19	5
108	Fullut	5
108	mariominejedi	5
108	Hyp3rion_	5
108	JitteryJared2	5
108	gustarlep	5
108	DTwenty	5
108	monky_irl	5
108	Ze_BaronKrigler	5
108	TheEnderMan548	5
108	_Mythic____	5
108	tartanboy	5
108	anbbang	5
108	Jimb0nat0r	5
108	00000000-0000-0000-0009-01ff0c3e5e4f	5
124	k_ce	4
124	TooPure2	4
124	FrostySlimez	4
124	Ryan_GEMS	4
124	hm947	4
124	CoffeeNoir	4
124	Prismyst	4
124	SquadMonster	4
124	UncreativeArtist	4
124	UMosDiesIrae	4
124	Hisiste	4
124	SammiWolfGirl	4
136	Myszoaz	3
136	MrKrabOnCoke	3
136	Swexti	3
136	IWorkAtIkea	3
136	Nicky_H225	3
136	Secret_Canary	3
136	LeauVox4921	3
136	CharlieButt	3
136	CarltheCuck	3
136	SuperPooch06	3
136	zToasty69z	3
136	HolyVenom	3
136	boolingod	3
136	Thomez_	3
136	Avocadogerms	3
136	Nycteus_	3
136	Racengan	3
136	mihimihimihi	3
136	sp00ky_ghost977	3
136	fffMike	3
136	jcool7	3
136	Kubeusz2010	3
136	Ezekson	3
136	EcksD	3
136	skrongus	3
161	fanofbands101	2
161	dimondking777	2
161	BPTY4618	2
161	King_Rata	2
161	ShedJr_	2
161	Blackberry1310	2
161	BobDeBouwer1337	2
161	Smashic	2
161	gcaisawesome	2
161	hanaryheatwave	2
161	burbankbuilder28	2
161	Rebytre	2
161	Moofyman	2
161	AuroraSkies	2
161	ogoa	2
161	NomadicRobin_	2
161	Sorry_Arey	2
161	DanTheBuilderino	2
161	IvarEXE	2
161	UCP_TheKingK	2
161	obzii	2
161	redlightshift	2
161	TheOuterCore	2
161	2blox_	2
185	Vryistal	1
185	_Virify_	1
185	Cowison	1
185	Merv__	1
185	AshleeCW	1
185	Frozil20	1
185	__lizi	1
185	LagVibes	1
185	T045RTY	1
185	NinjaKnifeKill	1
185	Myrlewen	1
185	lazioglug	1
185	ITDV	1
185	Sleepy_Time_	1
185	Crowman1	1
185	bloodbiter	1
185	Lumien_	1
185	Timfinity4	1
185	Enigma0251	1
185	paranoid_plant	1
185	mwrty	1
185	himak1	1
185	Cellcorgi649	1
185	AuBanana	1
185	TheDankPlatypus	1
185	M_Patata	1
185	GOOBERGABE04	1
185	Chromary	1
185	Snowflowe	1
185	GUBBENZ	1
185	Eczbox	1
185	HAIRYCLOUD626	1
185	spellmre	1
185	PaperCanvas	1
185	Lord_Jord	1
185	fw3xy74	1
185	masskedman	1
185	questbox	1
185	Dakar_	1
185	DarlaMeow	1
185	Fuad_R	1
185	HellsSponge	1
185	NameGenerat0r	1
185	OffWithTheirHead	1
185	THEKINGLyric10	1
185	wwwwinnebagoooo	1
185	MasterNueve	1
185	NiveauSubmarine	1
185	Shin69	1
185	MustardSquid	1
185	YungMaki	1
185	CACTUSLAD	1
185	_Yonk_	1
185	_i_ERROR_i_	1
185	SpacesickPrism	1
185	alanbleachdemon	1
185	TheALV	1
185	Steelynan	1
185	Eczbek	1
185	Erased_Identity	1
185	Nicserso	1
185	MirielThePastor	1
