rank	username	minecraft:mined/minecraft:large_fern
1	Smoke____	215
2	500am	141
3	Enderslayerxz3	129
4	beeperbeeper5	109
5	Freak_Genius	97
6	Zythose	92
7	rarrq	84
8	SkateboardR6	74
9	BlancoFlaco	68
10	EcksDofficial	63
11	Legendosh	59
12	set67	56
12	xxPipperDipperxx	56
14	pintsizedrogue	55
14	himak1	55
14	PlasticOtari	55
17	M_Patata	54
17	MasterNueve	54
19	Human_Resource	52
20	thewindmillman	49
21	lordpipe	46
22	Chromary	43
23	RoskobiOne	39
23	EcksD	39
25	Paint	38
25	Kymarmalade	38
27	EveryonesUncle	37
28	ConcretePirate	36
28	Quotary	36
30	Menthas	33
31	jaimshae	32
32	noam464	31
32	Gamergirl420628	31
32	Spacewardharpy7	31
35	Mahoose	30
35	PigDab	30
35	CheifJumbo	30
38	orxngejuice	29
39	Laykon	28
39	Kubelz	28
39	Joestra	28
42	KarlKaek	27
43	BRRRN179	26
43	obzii	26
43	WYFYoyo	26
46	ChampPog_	25
46	SvenskaHugo	25
48	out1s	24
48	EfficientC52	24
50	Frozt99	23
50	pixelviolin	23
52	CrateOfBoxes	21
52	Akoot_	21
52	Jiminie	21
55	Blackberry1310	20
55	Dali1465	20
55	Arceus1975	20
58	coobert42	18
59	TheSecondLord	17
59	Inchef	17
59	Rebytre	17
59	SammiWolfGirl	17
63	joethahobo	15
63	Historical_Sand	15
63	_Dean_123	15
66	Marbz_	14
66	SuperPooch06	14
68	EMC_	13
69	KartivGal	12
69	DanTheBuilderino	12
69	MineMaster0012	12
69	scarletwarrior1	12
69	diggydog67	12
74	breadbowlgamer	11
74	burbankbuilder28	11
74	Eraxa	11
74	Hermanni__	11
78	kekhon	10
78	nut_e	10
78	NoChumpChange	10
78	sadvavilloso	10
82	SDMNAEK	9
82	IcyUzi	9
82	RodSerlingCringe	9
82	MyNameIsDakar	9
82	fluddd	9
82	fffMike	9
88	Flores991	8
88	IWorkAtIkea	8
88	Xalithia	8
88	Winklepicker279	8
88	EtherealEspresso	8
88	Xi_J1nping	8
88	Wolverine4302	8
88	the_cocos	8
96	Jovaphobic	7
96	diamondgolem35	7
96	hm947	7
96	tortillatitan	7
96	jacxhadow	7
96	Smashic	7
96	Kkanot	7
96	Awyrlas	7
96	CTH_98	7
96	NomadicRobin_	7
96	gustarbite	7
96	Steven1282598	7
96	Kowcio_	7
109	error10101	6
109	Kuragari_	6
109	Jackattack53	6
109	fkndweeb	6
109	The_Quack_Dealer	6
109	CACTUSLAD	6
109	alderban107	6
109	VentiHilton	6
117	Drlzyy	5
117	Merv__	5
117	teslawolf38	5
117	bloodbiter	5
117	ogoa	5
117	monky_irl	5
117	2blox	5
124	soundad	4
124	ShedJr_	4
124	TheFlfthHorseman	4
124	ProfessorBee	4
124	Masssonnn	4
124	CollinMH06	4
124	Rocco_Lane	4
124	Flucxks	4
124	SpaggeDR	4
124	TheShyPig	4
124	Jimi7hits	4
124	StitchCrashes	4
124	Templar_David	4
124	Racengan	4
124	Y3ntai	4
124	djancak	4
124	GlitchyPlate810	4
141	_NieToksikpl_	3
141	Bk2Lumby4You	3
141	T045RTY	3
141	Shazzyling	3
141	cowgirlkasia	3
141	ElFi66	3
141	Ardennes	3
141	egglapras	3
141	mimbo1211	3
141	Kakolbus	3
141	MangoTheFish	3
141	HyperCave	3
141	Wowful	3
141	Lord_Zacler	3
141	DTwenty	3
141	HellsSponge	3
141	El_Jalapeno	3
141	DolphinLaugh	3
141	Dusk_95	3
141	Godspirit249	3
141	Bonzaidalek	3
141	NebulousBadger	3
141	YungMaki	3
141	somegirl12_	3
141	Segotep999	3
141	Soplight	3
141	Spenduh	3
141	Erased_Identity	3
141	Lord_Lollo	3
141	jnp_gaming	3
141	MeetTheWollo	3
141	YoshikageBites	3
173	Mr_Byzantine	2
173	Dedalus36	2
173	ExtraDumb	2
173	Hpdinosaur	2
173	CoffeeNoir	2
173	PhantomBionic	2
173	ccwildfire1	2
173	Chickenchaser2	2
173	12Magner05	2
173	ciemacigans	2
173	r123moore	2
173	XboxPanda	2
173	Bucscw24	2
173	Norrhede	2
173	Nope______	2
173	ibarker21	2
173	LAVA129	2
173	Keith_Stark	2
173	wilgot_	2
173	fred870d	2
173	Zielo2017PL	2
173	FishyBoy3811	2
173	Lord_Jord	2
173	ChampBoii	2
173	Deodorante	2
173	Lutres_Torane	2
173	MAns_44	2
173	GravitySaint	2
173	SingedBread	2
173	verynothing	2
173	Ze_BaronKrigler	2
173	kyouma777	2
173	ReyTheLegend	2
173	Sheldor097	2
173	sebastiensaborio	2
173	MilleGrug	2
173	Hylo482y	2
173	Ezekson	2
211	Groovy_MoonBird	1
211	Froste131	1
211	littlesophiagirl	1
211	fanofbands101	1
211	JEWISHBadenBeele	1
