rank	username	minecraft:mined/minecraft:lapis_block
1	RoboTramp7865	928
2	TheShyPig	294
3	Awyrlas	171
4	RebelAndroid	139
5	PeteO1995	120
6	Fullut	106
7	joethahobo	99
8	mwrty	85
9	cedric72	77
10	Njensen7	72
11	Zaridey	71
12	Smoke____	70
13	zToasty69z	63
14	beeperbeeper5	60
15	FreakGenius	58
16	jessewegottacook	55
17	ConnorDanky_	54
18	RealGroot	52
19	00000000-0000-0000-0009-01ff0c3e5e4f	46
20	CaptainDeadBread	45
21	gcaisawesome	43
22	RefluxRatio	42
22	wwwwinnebagoooo	42
24	sufjanlover	40
25	Blaiku	38
26	__tomato	36
27	Xclax101	34
28	Mattesco	30
28	NomadicRobin_	30
28	Powowowow	30
31	Mahoose	20
31	NameGenerat0r	20
33	kekhon	19
33	Di_infiri	19
35	Teebone15	18
36	MattieHD	17
37	lizardfightclub	15
37	Cavetorch	15
37	Enderxz3	15
37	Legendosh	15
41	ratglock	13
41	lordpipe	13
43	lotarp	12
43	noam464	12
45	shadowthemonkey	11
45	Quotary	11
47	Werbe	10
47	YungMaki	10
47	Jimb0nat0r	10
50	Leithz6	9
50	vandmanden	9
50	Sral7	9
53	FirsTimeGamingTV	8
53	Wowful	8
53	masskedman	8
53	Spacewardharpy7	8
53	SSytex_X	8
53	Captain_Hardtak	8
59	Groovy_MoonBird	7
59	fluddd	7
59	MovingFish7	7
59	WyngGoy	7
59	Burge_r	7
59	SammiWolfGirl	7
65	EMC_	6
65	Inbefour	6
65	fkGrim	6
65	The_slideV3	6
65	PlasticOtari	6
70	Barlycorn	5
70	Hisiste	5
70	Kubeusz2010	5
73	PhantomsGhost_	4
73	Merv__	4
73	BlancoFlaco	4
73	eitanzaki	4
73	T045RTY	4
73	Kkanot	4
73	Hyp3rion_	4
73	The_Quack_Dealer	4
73	Arlosaurus	4
73	Dusk_95	4
73	MakeHistory157	4
73	OfficerAnvil	4
73	Weepingbiel	4
73	xolstoi	4
87	teslawolf38	3
87	HoltGrim	3
87	Jonafrog99	3
87	Hiryu27	3
87	claivin	3
87	TheDumbHuman	3
87	bloomkieren	3
94	RatatJuice	2
94	Wooptey	2
94	titanlax	2
94	Ecplosive	2
94	Rumpletaezer	2
94	sammidk	2
94	Rasmanden	2
94	groofles	2
94	fw3xywashere	2
94	DarlaMeow	2
94	Pundehoo	2
105	pintsizedrogue	1
105	SmashingPump	1
105	Frozil20	1
105	Paleshield	1
105	Incinere	1
105	Natty	1
105	LoboTheLobster	1
105	Timfinity4	1
105	thescout7	1
105	PegLegPete93	1
105	Kubelz	1
105	gabriels543	1
105	MyNameIsJobo	1
105	Jackattack53	1
105	thewindmillman	1
105	Bumpy419	1
105	Rebytre	1
105	Akoot_	1
105	audiocracked	1
105	EveryonesUncle	1
105	luseis	1
105	weabis	1
105	Racengan	1
105	Airem_Core	1
105	ItsDeltaMC	1
105	SvenskaHugo	1
105	pixelviolin	1
105	Soplight	1
105	lcvezra	1
105	obzii	1
105	Sheldor097	1
105	fffMike	1
105	ZeroKraken	1
105	Ezekson	1
105	little_dUki	1
105	bladeefan2009	1
105	diggydog67	1
