rank	username	minecraft:mined/minecraft:coarse_dirt
1	Enderxz3	3367
2	MyNameIsJobo	2987
3	EMC_	2908
4	TheShyPig	2179
5	EveryonesUncle	1979
6	miramyu	1946
7	500am	1853
7	Werbe	1853
9	Sral7	1757
10	j5ylim	1479
11	AspenLightVT	1314
12	Karbl	1083
13	Legendosh	1061
14	ROY4LE	1052
15	Lez_	949
16	Merv__	935
17	Mr_Byzantine	928
18	pintsizedrogue	803
19	SpacesickPrism	749
20	thewindmillman	729
21	Jovaphobic	697
22	Steelynan	695
23	excelsionprime	689
24	PazinGaming	671
25	Kakolbus	670
26	Saucepeh	651
27	SvenskaHugo	640
28	Manaateee	622
29	Spacewardharpy7	607
30	crashomon	579
31	Mahoose	554
32	Fullut	550
33	Gzrdy	514
34	Mattesco	494
35	Pumpkin_P_Patch	465
36	Kowcio_	438
37	ApophisNova	433
37	MyNamaSheff	433
39	Touched_Bread	427
40	Segotep999	425
41	burbankbuilder28	369
42	Nicserso	367
43	luseis	349
44	2Stout	348
45	abramgray	318
45	Secret_Canary	318
47	_Huge_Male_	313
48	Frozil20	302
49	Blackberry1310	297
50	k_ce	288
51	MilleGrug	282
52	__tomato	258
53	Zaridey	247
53	OreTheBear	247
55	rarrq	238
56	PlasticOtari	237
57	Fizznut909	235
58	EcksD	231
59	Cowison	230
59	TachibanaAkira	230
61	_Dean_123	228
62	YungMaki	218
63	Archsam	212
64	Doom_melon	209
65	Yamdalorian	206
66	xxPipperDipperxx	205
67	KarlKaek	200
68	Fuad_R	197
69	MAns_44	194
70	CosmicStardustt	193
71	RebytreGT	191
72	Sleepy_Evelyn	187
73	slkiey	183
74	Jackattack53	182
75	T045RTY	179
76	set67	176
77	PhantomsGhost_	175
78	DarlaMeow	168
79	Hoid_the_Roamer	163
80	SaltineDream	158
80	Louiis123	158
82	oscminus	153
83	Moofyman	148
84	ECstardust	147
85	Blaiku	144
86	Soplight	143
87	mihimihimihi	140
88	RobotMinion101	139
89	Eraxa	138
90	SuperPooch06	134
91	beeperbeeper5	133
92	m_be9	132
93	bigstankyy	131
93	Blu3beast	131
95	Jimb0nat0r	129
96	Di_infiri	123
97	surfinggiraffejp	117
98	himak1	116
99	pixelviolin	115
100	thescout7	114
101	Historical_Sand	112
102	myaccountwasgone	109
102	Cryptacity	109
104	ImNotYuqii	107
105	ConnorDanky_	106
106	GravitySaint	105
107	NameGenerat0r	102
108	Hahaa_0	101
109	Alteriity	99
110	Winklepicker279	95
110	TheOnlyRake	95
112	Galactic_Badger	91
113	sp00ky_ghost977	90
114	Buuck_	87
115	CLG_Kata	86
115	Parcc	86
117	KingMatthew506	82
118	Factoroni	81
118	DairyNickel756	81
120	Pelbo	80
120	skitzxo	80
122	Chromary	79
123	Meatlaugh	78
124	Groovy_MoonBird	75
125	J4k__	71
125	Elastiq	71
127	Luigipunch989	70
128	PortlyPete69	68
128	CattSoup	68
130	prizm_	63
131	potatocan	60
132	kekhon	58
132	thebaddruid	58
134	Gus2005	57
135	noam464	55
135	TheKingK_	55
137	Apollo_993	54
137	Samificator	54
137	FiguraDei	54
140	DirtyDalle	53
140	hanaryheatwave	53
142	Inchef	52
142	Dakar_	52
144	__Fanda__	51
145	TheBananaKat	48
146	hermmm_	46
147	Zedducius	44
147	Ezekson	44
149	k1ngGilgamesh	43
150	legal_tax_evader	41
150	WyngGoy	41
150	jnp_gaming	41
153	yheece	40
153	lordpipe	40
155	Huwulling	39
155	Arceus1975	39
157	Onennon	38
157	Ze_BaronKrigler	38
159	DepressedCubic	37
160	stellarjay	36
161	GooseWithin	35
161	Soap_Bender	35
161	Fildyr	35
164	Smashic	34
164	ayamefag	34
166	Flex_Tape_Phil	33
