rank	username	minecraft:mined/minecraft:tube_coral_fan
1	thewindmillman	326
2	Kouridragon	119
3	Di_infiri	114
4	Legendosh	73
5	ImpavidArcher	48
6	TheShyPig	43
7	12Magner05	37
7	lordpipe	37
9	Hyp3rion_	33
10	500am	28
11	pintsizedrogue	27
12	_Dean_123	21
13	Spacewardharpy7	18
14	Onennon	17
15	Vetral1	16
16	Inbefour	14
17	RoskobiOne	12
17	Merv__	12
17	Fullut	12
20	Mahoose	11
20	kekhon	11
20	noam464	11
20	YungMaki	11
24	Mewar	10
25	eitanzaki	9
25	ApophisNova	9
25	Jiminbub	9
25	MyNamaSheff	9
25	TechnoNinja64	9
30	AuroraValkyrie	8
30	Blackberry1310	8
30	Enderslayerxz3	8
33	Jiminie	7
33	Blu3beast	7
33	Nagasaki_Riku	7
33	IdeallyGrey	7
33	djancak	7
33	KingMatthew506	7
39	livingdaydreams	6
39	beeperbeeper5	6
39	Ssor69	6
39	Xalithia	6
39	eiC_	6
39	Bumpy419	6
39	Smoke____	6
46	T045RTY	5
46	joethahobo	5
46	HellsSponge	5
46	__tomato	5
50	SaucyDark	4
50	surfinggiraffejp	4
50	Marbz_	4
50	Rumpletaezer	4
50	Rebytre	4
50	Quaintster	4
50	Xclax101	4
50	Dusk_95	4
50	Luigipunch989	4
50	h2p_emrld	4
60	Jovaphobic	3
60	Iagoku	3
60	urbeans	3
60	Arceus1975	3
60	HolyVenom	3
60	groofles	3
60	Maenara	3
60	TheSeismicDuck	3
60	XxCookiequeenxX	3
60	Deathkob	3
60	Karbl	3
60	Freak_Genius	3
60	Typadopoulos	3
60	SkateboardR6	3
60	lcvezra	3
60	Nicserso	3
60	Powowowow	3
60	Sral7	3
60	FishisTTV	3
60	diggydog67	3
80	KarlKaek	2
80	Historical_Sand	2
80	TheSecondLord	2
80	eclipseboi	2
80	Noah_Bez	2
80	SuperPooch06	2
80	burbankbuilder28	2
80	Werbe	2
80	Nicky19	2
80	KlausVonStiglitz	2
80	1442	2
80	ZoharGoldMine	2
80	Fizznut909	2
80	PortlyPete69	2
80	Skippeh	2
80	Ezekson	2
80	oxfordschool	2
80	EcksD	2
80	HesDemonPants	2
80	PlasticOtari	2
80	YoshikageBites	2
101	Groovy_MoonBird	1
101	Bandito_Roamer	1
101	dimondking777	1
101	hm947	1
101	RatatJuice	1
101	Hpdinosaur	1
101	bra1nbrain	1
101	Incinere	1
101	tsohomie	1
101	tramizu	1
101	shyshyannne	1
101	Inchef	1
101	r123moore	1
101	XboxPanda	1
101	TheDankPlatypus	1
101	NotoriousNina	1
101	M_Patata	1
101	loveseeker	1
101	MyNameIsJobo	1
101	Chromary	1
101	_Boipl_	1
101	domagawha	1
101	Donutt	1
101	Voxin2K	1
101	RobotMinion101	1
101	Jimi7hits	1
101	fw3xywashere	1
101	audiocracked	1
101	EveryonesUncle	1
101	_Bguette_	1
101	chipklip	1
101	YungWali	1
101	DarlaMeow	1
101	_Karmaa	1
101	NameGenerat0r	1
101	claivin	1
101	StinkyDiplomat	1
101	El_Jalapeno	1
101	cytotoxaint	1
101	Hisiste	1
101	MasterNueve	1
101	WyngGoy	1
101	SexcMf	1
101	stellarjay	1
101	SammiWolfGirl	1
101	GlitchyPlate810	1
101	Western_1	1
101	ZeroKraken	1
101	Steelynan	1
101	laron58	1
101	kinas45y5	1
101	Zoeyfortnite	1
101	Yahrto	1
