rank	username	minecraft:mined/minecraft:brown_mushroom_block
1	Hyp3rion_	9630
2	YungMaki	8178
3	Lez_	6885
4	Blaiku	6812
5	Enderxz3	6251
6	noam464	6142
7	_Nuf	4199
8	Jimb0nat0r	3796
9	Di_infiri	3781
10	pintsizedrogue	3704
11	joethahobo	3606
12	thewindmillman	2724
13	EMC_	2623
14	Sral7	2252
15	Werbe	2223
16	Crowman1	2205
17	Kowcio_	2081
18	MightyWertu	2029
19	ApophisNova	1687
19	MyNamaSheff	1687
21	EngagedGrub41	1665
22	Smoke____	1511
23	claivin	1447
24	lordpipe	1291
25	Hoid_the_Roamer	1208
26	luseis	1148
27	Soplight	1130
28	xxPipperDipperxx	982
29	GlitchyPlate810	977
30	eitanzaki	919
31	diggydog67	912
32	EveryonesUncle	896
33	Mahoose	828
34	AuroraValkyrie	768
35	Historical_Sand	767
36	Winston_Ingram	728
37	gcaisawesome	720
38	Wolverine4302	719
39	nattybears	710
40	PlasticOtari	689
41	Ezekson	640
42	burbankbuilder28	507
43	FreakGenius	489
44	Steelynan	438
45	Inchef	408
46	Hpdinosaur	406
47	corpsecity	405
47	IamCL4SSY	405
49	kekhon	399
50	Marbz_	397
51	beeperbeeper5	393
52	Blackberry1310	385
53	Xclax101	375
54	Euclidoris	366
55	Deathkob	364
56	TheShyPig	360
57	Maenara	341
58	CarryLine	305
59	H72l9w	304
59	Hiryu27	304
61	SingedBread	284
62	Jovaphobic	270
62	diamondgolem35	270
62	Fullut	270
65	Frozil20	268
66	TechnoNinja64	263
67	SmashingPump	255
68	Paintz	248
69	Tyrannosplart	241
70	XxCookiequeenxX	232
71	TheFlfthHorseman	229
72	Hisiste	227
73	Elastiq	226
74	F_Uhre	222
75	ROY4LE	219
75	djancak	219
77	Spacewardharpy7	192
78	500am	185
79	excelsionprime	181
79	Lutres_Torane	181
81	sp00ky_ghost977	180
81	Zoeyfortnite	180
83	NieToksikpl	177
84	m_be9	176
84	Chromary	176
86	WET_WET_WET	153
87	LexMakesHistory	151
88	carpet4_69	148
89	GigaSl	145
90	Jackattack53	142
91	Kakolbus	141
92	KomputerDude	135
92	TableTim	135
92	F_22_	135
92	Arceus1975	135
92	wezzzi	135
92	jnp_gaming	135
98	Awyrlas	121
99	WithoutPyr	119
100	ImpavidArcher	108
101	DinoDoctor_	107
102	ConnorDanky_	100
103	groofles	98
104	AlphaWolfPlaysMC	97
105	GravitySaint	96
105	Nicserso	96
107	12Magner05	95
108	teslawolf38	90
108	Ryker	90
108	Notta	90
108	BilboBaggins23	90
108	Blazebit	90
108	NotMeanttoChange	90
108	PegLegPete93	90
108	whoaluv	90
108	LunarRedPanda	90
108	SaintJosie	90
108	mihimihimihi	90
108	pixelviolin	90
108	lcvezra	90
121	Kubelz	87
122	Ananas55	84
123	The_slideV3	80
124	TheSeismicDuck	79
124	masskedman	79
126	PhantomsGhost_	72
127	ShedJr_	71
128	Onennon	68
129	Yirtle	67
130	Akoot_	63
131	Merv__	60
131	HellsSponge	60
133	MinttyFressh	55
134	MattieHD	53
135	Nekomin0	51
136	MuffinManzz	48
136	SyntheticSurgeon	48
136	anbbang	48
139	gusstationwerker	47
140	Drewen24	46
140	trexgb	46
142	Harotio	45
142	BigBootyHudge	45
142	Prismyst	45
142	SpaceGrenadier	45
142	Stynxy	45
142	Koffeeinz	45
142	gilesmcriles	45
142	ProfessorBee	45
142	SoftSix	45
142	lilsay	45
142	Scattman_	45
142	boog4loo	45
142	set67	45
142	Touched_Bread	45
142	ARandomHedge	45
142	TheDankPlatypus	45
142	Avrelion	45
142	CollinMH06	45
142	Vetral1	45
142	Lord_Jord	45
142	gustarlep	45
142	avalan64	45
142	Darkgon	45
142	RoofTyler	45
142	Racengan	45
142	Barlycorn	45
142	WyngGoy	45
142	Eraxa	45
142	MineMaster0012	45
142	ediballbearings	45
142	TheALV	45
142	Hermanni__	45
142	Skippeh	45
142	The_SlideV5	45
176	openatheclose	43
176	Crasswolf	43
176	JustAWill_	43
176	Russiancat1	43
180	hanaryheatwave	42
181	Diamondpanda4	41
181	Alteriity	41
181	MinerDec	41
181	audiocracked	41
185	GingerNeutron	40
185	censorsheep	40
185	Kyrum2169	40
188	Sna_Ke	39
189	ExtraDumb	38
190	Comma__	37
191	TildaAndrea	36
191	benediktine1	36
193	eviltunix	34
193	aa2x_	34
195	TheOnlyRake	32
196	obzii	31
197	PortlyPete69	30
198	KingFaenor	29
199	actuallysadie	28
200	dudcreeper	27
201	JESS_THE_RERE	24
202	nocturne78	23
203	KarlKaek	19
204	HollieDaNugget	17
204	MyNameIsDakar	17
206	Zaridey	15
206	Lightfulwolf	15
208	marumochis	13
209	Motsaro	12
209	stellarjay	12
211	Jackywho	11
211	Rumpletaezer	11
211	DTwenty	11
214	andy_rex	10
214	bee_gorl	10
216	M_Patata	9
216	MasterNueve	9
216	CLUBN2	9
219	gabriels543	8
220	Killercatty78	7
220	Flores991	7
220	_Razaria	7
220	eli_tschki	7
220	__tomato	7
220	LeEricc	7
226	Warlord324	6
226	EtherealEspresso	6
228	Paint	4
228	Reamdin	4
228	Ithaca19	4
228	MovingFish7	4
228	RealGroot	4
233	Franco093	3
233	bloodbiter	3
233	corvidpartyfor6	3
233	eclipseboi	3
233	CharlieButt	3
233	PigDab	3
233	Inbefour	3
233	Toriankel	3
233	Moetis	3
242	Groovy_MoonBird	2
242	hollowww	2
242	Whiterooster001	2
242	ADEXTV	2
242	babyjimmyneutron	2
242	widgewee	2
242	KingMatthew506	2
242	SirBreadward	2
250	seanitoo	1
250	soundad	1
250	Yatitay	1
250	6king6colt6	1
250	Slinkyy7071	1
250	T045RTY	1
250	FirsTimeGamingTV	1
250	Scathra	1
250	platinumzero	1
250	Windo_licker	1
250	seramalen	1
250	KartivGal	1
250	Kynigito	1
250	El_Jalapeno	1
250	freya__b	1
250	ItsDeltaMC	1
250	Optiprimus	1
250	sigmabich	1
250	xzvu	1
250	tiphunny	1
