rank	username	minecraft:mined/minecraft:pink_glazed_terracotta
1	lordpipe	573
2	FreakGenius	296
3	thewindmillman	201
4	oscminus	63
5	Spacewardharpy7	62
6	bl1ss0	33
7	beeperbeeper5	30
8	Yamdalorian	28
9	Sleepy_Evelyn	27
10	pixelviolin	24
11	Inbefour	21
12	Werbe	18
12	Steelynan	18
14	TheBananaKat	16
15	Bumpy419	15
15	doublemaki	15
17	PaperCanvas	14
18	Lez_	12
18	Jimb0nat0r	12
18	Biites	12
21	Merv__	11
21	eitanzaki	11
23	MakeHistory157	9
24	noam464	8
24	mobunni	8
26	SaucyDark	7
27	pintsizedrogue	5
27	Gus2005	5
29	Arceus1975	4
29	StinkyDiplomat	4
31	Buuck_	3
32	QuiCreans	2
32	PlasticOtari	2
34	Hyp3rion_	1
34	luseis	1
34	cutelilreno	1
34	ItsDeltaMC	1
34	Razzgriz	1
34	ConnorDanky_	1
34	Enderxz3	1
34	TheSandwhich_	1
