rank	username	minecraft:mined/minecraft:green_glazed_terracotta
1	PigDab	215
2	titanlax	149
3	RoboTramp7865	98
4	Merv__	89
5	Smoke____	77
6	Spacewardharpy7	60
7	noam464	50
8	Prismyst	39
9	Huwulling	37
10	Lez_	35
11	Kijiki	28
12	lordpipe	27
13	Wooptey	24
14	ROY4LE	21
14	CarltheCuck	21
16	MakeHistory157	19
16	Quotary	19
18	UncleDanDan	15
19	calamariclam_I	13
20	500am	11
21	BobDeBouwer1337	8
21	Legendosh	8
23	Steelynan	6
24	YungMaki	5
24	Soplight	5
26	pintsizedrogue	4
26	Inbefour	4
26	StinkyDiplomat	4
29	TheShyPig	2
29	Kim_Jong_eel	2
29	FelixPSY375	2
32	eitanzaki	1
32	beeperbeeper5	1
32	Nycteus_	1
32	ItsDeltaMC	1
32	Razzgriz	1
32	yatsuta	1
32	ConnorDanky_	1
