rank	username	minecraft:mined/minecraft:ender_chest
1	Mahoose	3072
2	Blaiku	1123
3	claivin	921
4	YungMaki	756
5	Di_infiri	753
6	Eraxa	737
7	Hyp3rion_	687
8	noam464	604
9	Blackberry1310	573
10	Hermanni__	549
11	Hisiste	526
12	CoffeeNoir	515
13	Deathkob	504
14	thewindmillman	493
15	pintsizedrogue	489
16	jnp_gaming	476
17	Skippeh	418
18	WyngGoy	384
19	Snowflowe	370
20	Soplight	358
21	KG1999	352
22	MightyWertu	350
23	lillips	322
24	Freak_Genius	320
25	Frozil12	319
26	MakeHistory157	314
27	Groundler	307
28	jcool7	297
29	EveryonesUncle	281
30	Historical_Sand	274
31	Fullut	271
32	500am	265
33	m_be9	262
34	12Magner05	261
34	thescout7	261
36	mwrty	245
37	OtariCharlie	241
38	Sky_light_KING	225
39	Zythose	215
40	Smoke____	210
41	TheSecondLord	206
42	Bumpy419	191
43	Barlycorn	173
44	Werbe	170
44	NameGenerat0r	170
44	AssEatrAndLicker	170
47	6king6colt6	160
48	LexMakesHistory	159
49	SpaceGrenadier	157
50	SingedBread	156
50	PortlyPete69	156
52	_Virify_	151
52	set67	151
54	pixelviolin	147
55	titanlax	141
56	fkGrim	140
57	Cocoamallows	139
58	PhantomsGhost_	137
59	Dogcorn69420	136
60	Drlzyy	134
61	PigDab	132
61	EcksD	132
63	Kowcio_	121
64	Spacewardharpy7	120
65	Enderslayerxz3	113
66	masskedman	111
66	Ezekson	111
68	KartivGal	105
69	pappaberg	104
70	M_Patata	102
70	Chromary	102
70	MilleGrug	102
73	Jackattack53	99
73	Sral7	99
75	TechnoNinja64	94
76	kinas45y5	91
77	MasterNueve	88
78	eitanzaki	85
78	r123moore	85
80	AuroraValkyrie	84
80	beeperbeeper5	84
82	Myszoaz	79
83	Mewar	77
83	SellyZ	77
83	Xclax101	77
86	MattieHD	75
86	alderban107	75
88	BronkerBrum	67
89	trexgb	66
90	emrekn	65
91	NomadicRobin_	64
91	Steven1282598	64
93	TheSeismicDuck	63
94	Merv__	62
95	DarkS0L	61
95	Soap_Bender	61
95	MovingFish7	61
