rank	username	minecraft:mined/minecraft:potted_warped_fungus
1	Skylord_Luke	5
1	Eraxa	5
3	Mahoose	2
3	12Magner05	2
3	kekhon	2
3	Dusk_95	2
7	Flegneh	1
7	error10101	1
7	BlancoFlaco	1
7	eitanzaki	1
7	crying_wolf_13	1
7	orxngejuice	1
7	Huic_ostiarius	1
7	YahooScreen9000	1
7	Akoot_	1
7	Kubeusz2010	1
