rank	username	minecraft:mined/minecraft:magenta_concrete_powder
1	mwrty	200
2	beeperbeeper5	67
3	lordpipe	29
3	Steelynan	29
5	LordSpeed37	23
6	emreknugrlu	19
7	Fullut	17
8	Enderxz3	11
9	Merv__	6
9	EveryonesUncle	6
11	_Huge_Male_	5
11	royal_2	5
11	ROY4LE	5
11	PigDab	5
11	xzvu	5
11	Yamdalorian	5
17	Manaateee	4
17	Strangemonkey71	4
19	thewindmillman	3
19	SvenskaHugo	3
19	doublemaki	3
22	TheSecondLord	1
22	Zedducius	1
22	noam464	1
22	lunkuku	1
22	sp00ky_ghost977	1
22	Ezekson	1
22	Legendosh	1
22	jnp_gaming	1
22	UrbanPlanningEx	1
22	Jimb0nat0r	1
