rank	username	minecraft:mined/minecraft:mangrove_planks
1	Touched_Bread	345
2	Huwulling	293
3	bearlystraight	214
4	Mr_Byzantine	134
5	Legendosh	129
6	k_ce	84
7	Segotep999	81
8	Nicserso	78
9	AdmiralSmoke	77
10	Enderxz3	70
11	Smashic	67
11	Jimb0nat0r	67
13	PlasticOtari	33
14	beeperbeeper5	28
15	00000000-0000-0000-0009-01fc3bb26159	25
16	xxPipperDipperxx	16
17	pintsizedrogue	14
18	MineMaster0012	9
19	SvenskaHugo	8
20	Mahoose	7
21	EMC_	6
22	Sleepy_Time_	5
22	Jackattack53	5
22	luseis	5
25	thewindmillman	4
25	Lutres_	4
25	Spacewardharpy7	4
25	Soplight	4
29	Mattesco	3
30	CalebDHawk	2
31	olliebollie48	1
31	Manaateee	1
31	Fuad_R	1
