rank	username	minecraft:mined/minecraft:sea_lantern
1	Hyp3rion_	5704
2	Ezekson	2863
3	noam464	2439
4	joethahobo	2403
5	HellsSponge	2217
6	beeperbeeper5	1796
7	Alteriity	1578
8	Yamdalorian	1403
9	Legendosh	1237
10	eitanzaki	1108
11	Di_infiri	988
12	EMC_	939
12	MilleGrug	939
14	Jackattack53	935
15	ImpavidArcher	816
16	Spacewardharpy7	803
17	FreakGenius	783
18	luseis	768
19	Mahoose	751
20	pintsizedrogue	732
21	PlasticOtari	657
22	gcaisawesome	645
23	Snowflowe	634
24	Racengan	632
25	Blaiku	628
26	PigDab	602
27	TheShyPig	576
28	RoskobiOne	557
29	Rumpletaezer	549
30	Mr_Byzantine	535
31	Marbz_	533
32	EcksD	523
33	EveryonesUncle	519
34	skitzxo	508
35	m_be9	501
36	Groundler	493
37	YungMaki	469
38	Enderxz3	417
39	Kakolbus	410
40	lizardfightclub	392
41	EngagedGrub41	390
42	Xclax101	380
43	Incinere	353
44	Zythose	338
45	Blackberry1310	330
46	Jovaphobic	309
47	Steelynan	296
48	Lez_	295
49	thescout7	289
50	PhantomsGhost_	276
51	12Magner05	267
52	500am	256
53	Airem_Core	244
54	_Dean_123	243
55	Ryan_GEMS	242
56	Maenara	240
57	Lord_Jord	239
58	Winklepicker279	236
59	TheDankPlatypus	235
59	Bumpy419	235
61	XboxPanda	232
62	Arceus1975	227
63	Iagoku	225
63	MightyWertu	225
65	xxPipperDipperxx	223
66	diamondgolem35	218
67	ConnorDanky_	215
68	Inchef	205
69	hanaryheatwave	204
70	lordpipe	201
71	BadenStayFly	196
71	xDraggin	196
73	livingdaydreams	195
74	royal_2	191
74	NameGenerat0r	191
76	MAns_44	190
77	Merv__	189
78	_Mythic____	187
79	kekhon	185
79	ROY4LE	185
81	Krowuss	184
82	M_Patata	179
82	MasterNueve	179
84	Prodiginus	178
85	TheSecondLord	160
85	F_Uhre	160
87	Kowcio_	158
88	Frozil20	155
88	mihimihimihi	155
90	__tomato	143
91	thewindmillman	140
91	AstreaTSS	140
93	KartivGal	139
93	jcool7	139
95	Tyrannosplart	132
95	TechnoNinja64	132
97	rarrq	129
97	ProfessorBee	129
99	Smashic	126
100	set67	125
101	Xalithia	119
101	legal_tax_evader	119
103	Inbefour	116
104	Comma__	115
105	eiC_	114
106	titanlax	113
107	Blu3beast	109
108	Fullut	105
109	myaccountwasgone	104
110	teslawolf38	101
111	hm947	100
111	Barlycorn	100
113	Historical_Sand	99
114	jnp_gaming	98
115	catandmoose	97
115	Jimb0nat0r	97
117	Werbe	95
118	Quotary	93
119	UrbanPlanningEx	92
120	monky_irl	89
121	MoistMicrowave	88
121	voiding_	88
123	Awyrlas	87
124	CoffeeNoir	86
125	Pumpkin_P_Patch	82
126	T045RTY	81
126	CliffEmAll	81
128	Paintz	80
129	Druid95	79
130	SammiWolfGirl	78
131	Hydro___________	77
132	DinoDoctor_	76
132	pixelviolin	76
132	UltraZombie	76
135	Eraxa	75
136	Secret_Canary	73
137	emreknugrlu	72
138	excelsionprime	69
139	Groovy_MoonBird	67
139	Huwulling	67
141	audiocracked	65
141	ZoomieZoomie	65
143	fkGrim	63
144	DarlaMeow	62
145	gaziter10	61
145	MyNameIsJobo	61
147	oscminus	58
147	Vorlice	58
147	SvenskaHugo	58
150	tsitrawhy	57
150	PortlyPete69	57
152	j5ylim	56
152	Apollo_993	56
152	U_Mos_	56
155	emrekn	55
155	radioactv_jelly	55
157	King_Pancake1	54
157	KingMatthew506	54
159	MunkaKris	53
159	SpartanNamor	53
159	SmashingPump	53
159	SkateboardR6	53
159	stavgod	53
159	brofrickcheaters	53
159	AltnumberF4	53
166	calamariclam_I	51
167	Mattesco	50
168	NieToksikpl	49
169	El_Jalapeno	48
169	Optiprimus	48
169	Nicserso	48
172	ECstardust	47
172	Swexti	47
172	SingedBread	47
175	SexcMf	46
175	Njensen7	46
175	Zoeyfortnite	46
178	crashomon	45
179	RebelAndroid	44
179	claivin	44
181	powercas_gamer	42
181	I_Am_Mushkin	42
181	RobotMinion101	42
181	Hahaa_0	42
181	Buuck_	42
181	MakeHistory157	42
187	ApophisNova	40
187	blackeemperor	40
187	Gus2005	40
187	MyNamaSheff	40
191	xzvu	39
191	CalebDHawk	39
193	Onennon	38
193	HyperCave	38
193	iSammael	38
193	h2p_emrld	38
197	k_ce	37
198	Kyrum2169	36
199	CLG_Kata	35
199	Hiryu27	35
201	PazinGaming	34
201	Chromary	34
201	True_Clipse	34
201	WyngGoy	34
201	Spenduh	34
206	TheSeismicDuck	33
206	Shogunite	33
206	Sral7	33
209	RebytreGT	32
209	NomadicRobin_	32
209	Blasterboy54	32
