rank	username	minecraft:mined/minecraft:honeycomb_block
1	pintsizedrogue	411
2	Onennon	280
3	SexcMf	154
4	Fullut	112
5	RoskobiOne	101
5	PlasticOtari	101
7	RebelAndroid	83
8	SuperPooch06	78
9	PortlyPete69	55
10	EcksD	47
11	ImpavidArcher	46
11	Steelynan	46
13	Hpdinosaur	42
14	emreknugrlu	38
15	ConnorDanky_	37
16	Yamdalorian	35
17	500am	32
18	emrekn	22
18	thewindmillman	22
20	TwinTowerV2	21
21	excelsionprime	20
22	SpacesickPrism	15
22	Nicserso	15
24	noam464	14
24	Elastiq	14
26	Rebytre	11
26	KingMatthew506	11
28	SteveCraftBlocks	10
29	lunkuku	9
29	es0th	9
31	j5ylim	8
31	k_ce	8
31	powercas_gamer	8
31	Blackberry1310	8
31	lordpipe	8
36	Kelloogs	7
37	Werbe	6
37	_flud	6
39	Incinere	4
39	Mahoose	4
39	Soplight	4
42	beeperbeeper5	3
42	bloodbiter	3
42	EveryonesUncle	3
42	robonya_	3
42	little_dUki	3
47	shineh10	2
47	Alteriity	2
47	Lez_	2
47	ketaminmann	2
47	zToasty69z	2
47	awsertygaedrfshg	2
47	Deathkob	2
47	NameGenerat0r	2
47	pixelviolin	2
47	djancak	2
47	Pelku	2
47	hermmm_	2
47	Enderxz3	2
47	h2p_emrld	2
61	Ze1ig	1
61	TheSecondLord	1
61	Secret_Canary	1
61	r123moore	1
61	Arceus1975	1
61	wx4z	1
61	oscminus	1
61	Mattesco	1
61	HyperCave	1
61	Hiimdeath	1
61	DC_XII	1
61	luseis	1
61	claivin	1
61	FreakGenius	1
61	Spacewardharpy7	1
61	MakeHistory157	1
61	Kowcio_	1
61	Eczbek	1
61	jnp_gaming	1
61	00000000-0000-0000-0009-01fa3caf2694	1
