rank	username	minecraft:mined/minecraft:jungle_fence
1	El_Jalapeno	589
2	cedric72	351
3	Mr_Byzantine	331
4	SvenskaHugo	323
5	Hyp3rion_	196
6	BronkerBrum	188
7	titanlax	170
8	FreakGenius	167
9	Steelynan	96
10	Prodiginus	76
11	Inbefour	71
12	Factoroni	65
13	SaucyDark	57
14	PuFY	56
15	Maenara	52
16	WET_WET_WET	47
17	Bandito_Roamer	45
18	MyNameIsJobo	44
18	PlasticOtari	44
20	PegLegPete93	39
21	Toiton	37
22	Wooptey	36
23	eviltunix	35
23	MovingFish7	35
25	4774	30
26	soundad	29
27	akap47	27
28	TheShyPig	26
29	Winklepicker279	24
29	Pumpkin_P_Patch	24
31	kekhon	23
31	HellsSponge	23
33	ShedJr_	22
33	WhyTho_1	22
33	Kowcio_	22
33	jnp_gaming	22
37	joethahobo	20
37	Deathkob	20
39	pintsizedrogue	19
40	Airem_Core	18
40	miramyu	18
42	Sleepy_Evelyn	17
42	CarltheCuck	17
44	Jackattack53	16
44	OreTheBear	16
44	ItsDeltaMC	16
44	BreadBacon	16
48	Xalithia	15
48	ROY4LE	15
48	benediktine1	15
48	legal_tax_evader	15
48	F_Uhre	15
53	beeperbeeper5	14
53	Dabatha	14
53	KASAN420	14
56	MixerDixer	13
56	himak1	13
58	PigDab	12
58	QuesoCrusaderIII	12
58	Yamdalorian	12
61	Secret_Canary	11
61	Stiar	11
61	EdGalbraith	11
61	Tyrannosplart	11
61	ItsJunoIGuess	11
66	T045RTY	9
66	TAKrules	9
66	Gregward_Smith	9
66	mwrty	9
66	Shortest_Man	9
66	1442	9
72	catandmoose	8
72	TableTim	8
72	Zythose	8
72	U_Mos_	8
76	Merv__	7
76	12Magner05	7
76	ItsAki_	7
76	EveryonesUncle	7
76	Xclax101	7
81	Ryan_GEMS	6
81	TheSecondLord	6
81	Di_infiri	6
81	pretty_pink_reno	6
81	Racengan	6
81	annebolyn	6
87	Lez_	5
87	Queen_Jalapeno	5
87	censorsheep	5
87	fluddd	5
87	Vorlice	5
87	RadarHz	5
87	coobert42	5
94	jessemgaming	4
94	QuiCreans	4
94	Fullut	4
94	King_Pancake1	4
94	blackeemperor	4
99	Groovy_MoonBird	3
99	Incinere	3
99	Alteriity	3
99	Fullbit_	3
99	Ecplosive	3
99	Shiirazu	3
99	ConnorDanky_	3
99	Legendosh	3
107	MamaMarinara	2
107	eitanzaki	2
107	rarrq	2
107	GingerNeutron	2
107	TheDankPlatypus	2
107	hanaryheatwave	2
107	ese_wn_po	2
107	sp00ky_ghost977	2
107	_Mythic____	2
116	Apollo_993	1
116	BPTY4618	1
116	Mahoose	1
116	301851	1
116	Stynxy	1
116	500am	1
116	lorpus	1
116	Awyrlas	1
116	noam464	1
116	Arceus1975	1
116	ApophisNova	1
116	Rasmanden	1
116	emreknugrlu	1
116	_Karmaa	1
116	Deerfoot	1
116	Segotep999	1
116	SammiWolfGirl	1
116	MyNamaSheff	1
116	TechnoNinja64	1
116	skitzxo	1
