rank	username	minecraft:mined/minecraft:purple_terracotta
1	Awyrlas	2511
2	thewindmillman	443
3	Hyp3rion_	301
4	TheSecondLord	245
5	joethahobo	178
6	PortlyPete69	144
7	Rumpletaezer	137
8	Inbefour	103
9	pintsizedrogue	100
10	bigstankyy	88
11	YungMaki	86
12	sxc_	72
13	oscminus	63
13	Legendosh	63
15	rarrq	61
16	pixelviolin	51
17	RatatJuice	49
18	Steelynan	42
19	Lez_	37
20	nocturne78	36
21	Huwulling	25
22	Sral7	21
23	Crowman1	16
23	Werbe	16
25	_HoneySlime_	15
26	EMC_	14
27	lordpipe	13
28	Bandito_Roamer	12
28	Lord_Jord	12
30	ConnorDanky_	11
31	Eraxa	10
32	Mr_Byzantine	9
33	EcksD	6
34	duqboy	5
34	Enderxz3	5
36	AuroraValkyrie	4
36	shineh10	4
36	kekhon	4
36	NameGenerat0r	4
40	AlexxO_o	3
41	elicobnoah	2
41	Jiminbub	2
41	Spacewardharpy7	2
41	ZoomieZoomie	2
41	Jimb0nat0r	2
46	ColeSnyder	1
46	Alteriity	1
46	Mahoose	1
46	ZigzagLily43042	1
46	500am	1
46	Inchef	1
46	ROY4LE	1
46	noam464	1
46	Krowuss	1
46	TheShyPig	1
46	luseis	1
46	Manaateee	1
46	jake314810	1
46	FreakGenius	1
46	__Auspicious	1
46	MineMaster0012	1
46	xzvu	1
46	PlasticOtari	1
46	The_SlideV5	1
46	AdmiralSmoke	1
