rank	username	minecraft:mined/minecraft:waxed_oxidized_copper_door
1	thewindmillman	14
2	Buuck_	7
3	MyMawgDonaldsGon	4
4	CLG_Kata	3
5	MattieHD	2
5	Secret_Canary	2
5	Enderxz3	2
8	Werbe	1
8	Pumpkin_P_Patch	1
8	Spaghettatron	1
