rank	username	minecraft:mined/minecraft:brown_wool
1	thewindmillman	3084
2	Nycteus_	408
3	beeperbeeper5	368
4	xolstoi	315
5	ShedJr_	286
6	joethahobo	236
7	bigstankyy	146
8	luseis	128
9	nitram49b	118
10	Snowflowe	114
11	Lez_	101
12	PlzNoBM	82
13	bpmm	81
14	Ezekson	80
15	burbankbuilder28	55
16	AlexxO_o	50
17	ConnorDanky_	49
18	EcksD	48
19	PhantomsGhost_	47
20	Mahoose	44
21	Sheldor097	38
22	ROY4LE	37
23	rarrq	36
23	MinttyFressh	36
25	Wooptey	35
25	Spacewardharpy7	35
27	Werbe	30
28	NomadicRobin_	29
29	groofles	28
30	xxPipperDipperxx	26
30	Bumpy419	26
32	RoofTyler	21
33	Hyp3rion_	20
34	Historical_Sand	19
35	Rumpletaezer	18
36	YungMaki	15
37	KingMatthew506	13
38	500am	12
38	RealGroot	12
40	theonlymagikarp	11
40	DarlaMeow	11
40	PlasticOtari	11
43	Alteriity	10
44	EveryonesUncle	9
44	lordpipe	9
46	HellsSponge	8
46	Xclax101	8
46	Quotary	8
49	noam464	7
50	TheSecondLord	6
51	FishyBoy3811	5
51	Enderxz3	5
53	Mr_Byzantine	4
53	eitanzaki	4
53	kekhon	4
53	dezxalo	4
53	ZoomieZoomie	4
53	Jimb0nat0r	4
59	SpaceGrenadier	3
59	El_Jalapeno	3
61	RebelAndroid	2
61	Blackberry1310	2
61	thescout7	2
61	ApophisNova	2
61	Maenara	2
61	IamCL4SSY	2
61	Lord_Jord	2
61	FreakGenius	2
61	Blaiku	2
61	pixelviolin	2
61	CattSoup	2
61	MyNamaSheff	2
61	bladeefan2009	2
74	Merv__	1
74	Esme_1	1
74	Incinere	1
74	youhjjhhhjj	1
74	jessewegottacook	1
74	picardred	1
74	Crowman1	1
74	pr33tu	1
74	selectrix	1
74	LeGold	1
74	Cattoh	1
74	YahooScreen9000	1
74	Akoot_	1
74	SingedBread	1
74	ARCTICxLORD	1
74	PortlyPete69	1
74	2bolx_	1
74	Smoke____	1
