rank	username	minecraft:mined/minecraft:polished_deepslate_stairs
1	Mattesco	1392
2	StinkyDiplomat	687
3	EveryonesUncle	242
4	Fuad_R	234
5	Winklepicker279	206
6	mihimihimihi	180
7	fade_emerge78823	172
8	TheSecondLord	170
9	pintsizedrogue	139
10	Lez_	117
11	EMC_	114
12	500am	108
13	TheWildMateo	107
14	weabis	103
15	PazinGaming	98
16	Apollo_993	93
17	RoskobiOne	92
18	Groovy_MoonBird	89
19	YungMaki	84
20	Legendosh	75
21	luseis	67
22	JETrotter	63
23	excelsionprime	61
24	skroobiez	59
25	PlasticOtari	57
26	shineh10	50
26	Spacewardharpy7	50
28	thebaddruid	48
29	Lord_Jord	46
30	Jackattack53	43
30	corpsecity	43
32	ImpavidArcher	35
33	Nicserso	33
34	12Magner05	29
35	SvenskaHugo	27
36	thewindmillman	26
37	hm947	25
37	2extreeme	25
39	Mr_Byzantine	24
39	Da_Boss_Rani	24
39	ScootOfBoot	24
42	Hyp3rion_	23
43	MAns_44	21
44	pixelviolin	18
45	Huwulling	17
45	Touched_Bread	17
45	prizm_	17
48	Moofyman	16
49	Btabtab	15
50	BiggieDawg	13
51	hanaryheatwave	11
52	catandmoose	10
52	Skylord_Luke	10
52	Steelynan	10
55	TheBananaKat	8
56	Dblikstad	7
56	Sleepy_Time_	7
56	beeperbeeper5	7
56	Kubelz	7
56	fragrantmonke444	7
56	Kowcio_	7
56	TheWickedBird	7
63	sp00ky_ghost977	6
63	Jimb0nat0r	6
65	k_ce	5
65	TheKingK_	5
67	emreknugrlu	4
68	Merv__	3
68	teslawolf38	3
68	oscminus	3
68	R1CHY2K	3
68	Enderxz3	3
73	Alteriity	2
73	Mahoose	2
73	Manaateee	2
76	TooPure2	1
76	RatatJuice	1
76	titanlax	1
76	Smashic	1
76	drunkeeez	1
76	ZeroAbyssTTV	1
76	lizardfightclub	1
76	EdGalbraith	1
76	Deathkob	1
76	BeardBois	1
