rank	username	minecraft:mined/minecraft:coal_block
1	Comma__	420
2	gcaisawesome	259
3	ProfessorBee	220
4	kekhon	201
5	lillips	182
6	Xclax101	138
7	TheBiggestFeller	114
8	Werbe	107
9	Spenduh	76
10	Powowowow	71
11	set67	57
12	MyNameIsJobo	53
13	Stiar	51
13	EveryonesUncle	51
15	Lord_Jord	47
16	Awyrlas	45
17	G1ldor	44
18	YungMaki	41
19	El_Jalapeno	40
19	oxfordschool	40
21	Incinere	36
21	rarrq	36
23	Snowflowe	34
23	IvarEXE	34
25	TheSecondLord	33
25	kinas45y5	33
27	Akoot_	32
28	Onennon	31
29	Smoke____	30
30	Lukeee33	29
30	500am	29
32	Historical_Sand	28
33	ImpavidArcher	26
34	noam464	25
34	Rasmanden	25
36	Fullut	20
36	fluddd	20
38	EMC_	19
38	RobotMinion101	19
38	Legendosh	19
41	Di_infiri	18
42	beeperbeeper5	17
43	Blackberry1310	16
43	thewindmillman	16
45	lordpipe	15
45	MilleGrug	15
47	PortlyPete69	14
48	ROY4LE	13
48	Freak_Genius	13
50	WyngGoy	12
50	ItsDeltaMC	12
50	Soplight	12
53	tobinwilliams	11
53	censorsheep	11
55	Bumpy419	10
56	Merv__	9
56	_8man	9
56	Blu3beast	9
56	07shiny	9
60	Nicserso	8
61	Bandito_Roamer	7
61	12Magner05	7
61	ooga47	7
64	THExMuffinx	6
64	Syropatathe	6
64	Ze_BaronKrigler	6
64	Skippeh	6
68	JEWISHBadenBeele	5
68	Cryptacity	5
68	m_be9	5
68	_Karmaa	5
68	Frozil12	5
73	joethahobo	4
73	aluminumhelmet	4
73	Jiminie	4
73	_Bguette_	4
73	chipklip	4
73	EcksDofficial	4
79	GingerNeutron	3
79	shyshyannne	3
79	ApophisNova	3
79	audiocracked	3
79	Spacewardharpy7	3
79	Razzgriz	3
79	MyNamaSheff	3
86	Groovy_MoonBird	2
86	PhantomsGhost_	2
86	I_Am_Mushkin	2
86	eitanzaki	2
86	livingdaydreams	2
86	T045RTY	2
86	Mahoose	2
86	ShedJr_	2
86	bloodbiter	2
86	Jackattack53	2
86	jedi_george	2
86	SuperPooch06	2
86	theofiel	2
86	DemTechAlpha	2
86	NameGenerat0r	2
86	lcvezra	2
86	jcool7	2
86	vandmanden	2
104	Froste131	1
104	Dedalus36	1
104	Flores991	1
104	Paleshield	1
104	Natty	1
104	H72l9w	1
104	titanlax	1
104	BobDeBouwer1337	1
104	_Nuf	1
104	slkiey	1
104	Tmb1	1
104	eviltunix	1
104	Kubelz	1
104	moderncraft	1
104	Chromary	1
104	Rumpletaezer	1
104	King_Pancake1	1
104	_Boipl_	1
104	Drewen24	1
104	Inbefour	1
104	Lord_Zacler	1
104	wobn	1
104	balin55	1
104	DarlaMeow	1
104	Blaiku	1
104	Racengan	1
104	Sheldor097	1
104	anbbang	1
104	FelixPSY375	1
104	PlasticOtari	1
