rank	username	minecraft:mined/minecraft:chiseled_polished_blackstone
1	Snowflowe	268
2	thewindmillman	265
3	Lord_Jord	223
4	noam464	181
5	Freak_Genius	137
6	PigDab	120
7	eitanzaki	105
8	Cowison	84
8	Enderslayerxz3	84
10	EveryonesUncle	78
11	TheSecondLord	60
12	MSK__	59
13	cichy096	55
14	fred870d	47
15	CliffEmAll	45
16	Kubeusz2010	42
17	Smoke____	35
18	Blaiku	30
19	Fullut	29
20	mwrty	27
20	TheShyPig	27
22	RoskobiOne	26
22	lizardfightclub	26
24	Optiprimus	23
25	Historical_Sand	22
26	Kakolbus	21
27	gustarbite	19
28	RebelAndroid	18
28	500am	18
28	Eraxa	18
28	YungMaki	18
32	FishyBoy3811	17
33	GreedyFern8581	16
34	Shogunite	15
35	kekhon	12
35	Mattesco	12
35	PlasticOtari	12
38	ImpavidArcher	11
38	Decaying_Lotus	11
40	fanofbands101	10
40	Miko_Fullbuster	10
40	Legendosh	10
43	ShedJr_	9
43	joethahobo	9
45	teslawolf38	7
45	_Razar	7
45	Mahoose	7
45	set67	7
45	himak1	7
45	wwwwinnebagoooo	7
45	RadarHz	7
52	Marbz_	6
52	pixelviolin	6
52	Segotep999	6
55	Awyrlas	5
55	Di_infiri	5
55	ooga47	5
55	Dusk_95	5
59	Groovy_MoonBird	4
59	PhantomsGhost_	4
59	6king6colt6	4
59	Hpdinosaur	4
59	Billious	4
59	MyNameIsDakar	4
59	Eczbek	4
66	pintsizedrogue	3
66	BobDeBouwer1337	3
66	Inchef	3
66	r123moore	3
66	Winklepicker279	3
66	mariominejedi	3
66	Werbe	3
66	NomadicRobin_	3
66	Frozil12	3
66	Racengan	3
66	Spacewardharpy7	3
66	Spenduh	3
66	Steelynan	3
79	livingdaydreams	2
79	beeperbeeper5	2
79	rarrq	2
79	WET_WET_WET	2
79	Gryglu583	2
79	fluddd	2
79	MissCeleste7	2
79	Teebone15	2
87	NinjaKnifeKill	1
87	Scathra	1
87	Jackattack53	1
87	Hyp3rion_	1
87	Zythose	1
87	HolyVenom	1
87	Jiminie	1
87	DarlaMeow	1
87	Nycteus_	1
87	Hermanni__	1
87	Xi_J1nping	1
87	anbbang	1
87	oxfordschool	1
87	EcksD	1
87	FelixPSY375	1
87	MeetTheWollo	1
87	EcksDofficial	1
