rank	username	minecraft:mined/minecraft:smooth_quartz_slab
1	noam464	1416
2	Eraxa	958
3	Di_infiri	936
4	eitanzaki	802
5	Freak_Genius	730
6	Mahoose	723
7	Ezekson	581
8	lillips	569
9	Blaiku	454
10	kekhon	425
11	ImpavidArcher	302
12	EveryonesUncle	277
13	NameGenerat0r	273
14	Eczbek	264
15	lordpipe	234
15	Sral7	234
17	Snowflowe	210
18	beeperbeeper5	195
19	jnp_gaming	191
20	YungMaki	187
21	pintsizedrogue	171
22	himak1	169
23	EcksDofficial	156
24	The_slideV3	151
25	NotMeanttoChange	124
26	MightyWertu	122
27	Frozil12	111
28	FishyBoy3811	110
29	Chromary	97
30	Kubeusz2010	79
31	AltnumberF4	76
32	Deerfoot	72
33	rarrq	58
34	m_be9	50
34	PigDab	50
34	fluddd	50
37	Merv__	44
38	TheSecondLord	38
38	sebastiensaborio	38
40	SammiWolfGirl	37
41	oreee	33
41	cedric72	33
43	ApophisNova	28
43	MyNamaSheff	28
45	LexMakesHistory	27
46	Blackberry1310	22
46	__tomato	22
46	The_SlideV5	22
49	r123moore	20
50	_Karmaa	18
50	SingedBread	18
52	Soplight	17
53	egglapras	15
54	joethahobo	14
55	RodSerlingCringe	13
56	Spacewardharpy7	10
56	stavgod	10
58	Akoot_	9
59	MakeHistory157	8
60	AuroraValkyrie	7
60	SuperPooch06	7
60	Onennon	7
60	KG1999	7
60	CalebDHawk	7
65	Smoke____	6
66	EcksD	5
67	paranoid_plant	4
67	thescout7	4
67	thewindmillman	4
67	Zythose	4
67	ooga47	4
67	lizardfightclub	4
73	NomadicRobin_	3
73	Inbefour	3
73	mobunni	3
76	ColeSnyder	2
76	pr33tu	2
76	_Dean_123	2
76	500am	2
76	masskedman	2
76	Blu3beast	2
76	jcool7	2
83	hm947	1
83	Historical_Sand	1
83	MinttyFressh	1
83	Awyrlas	1
83	Inchef	1
83	M_Patata	1
83	Arceus1975	1
83	Hyp3rion_	1
83	CruncyIsTaken	1
83	PartyPhoenix	1
83	Steven1282598	1
83	Dusk_95	1
83	TheTommyGun63	1
83	MasterNueve	1
83	stahouo	1
83	cichy096	1
83	TechnoNinja64	1
