rank	username	minecraft:mined/minecraft:lime_glazed_terracotta
1	Spacewardharpy7	156
2	Merv__	97
3	Inbefour	67
4	Lez_	45
5	_Virify_	44
6	SuperPooch06	30
7	Mahoose	16
8	ApophisNova	15
8	MyNamaSheff	15
10	thewindmillman	12
11	SaucyDark	9
11	eitanzaki	9
11	lillips	9
14	Jackattack53	7
14	_Bguette_	7
14	StinkyDiplomat	7
14	mihimihimihi	7
18	YungMaki	6
19	TheShyPig	5
19	ConnorDanky_	5
21	Mewar	4
21	Soplight	4
23	beeperbeeper5	3
24	Fullut	2
24	CarltheCuck	2
26	RatatJuice	1
26	noam464	1
26	Bumpy419	1
26	The11thDoctor	1
26	Razzgriz	1
