rank	username	minecraft:mined/minecraft:smithing_table
1	Racengan	88
2	pintsizedrogue	53
3	Kowcio_	47
4	PlasticOtari	44
5	Blaiku	36
6	emrekn	34
7	EveryonesUncle	33
8	kekhon	31
9	m_be9	30
9	Solar_Power	30
11	HellsSponge	28
11	NameGenerat0r	28
13	Historical_Sand	26
14	noam464	22
14	TheShyPig	22
16	FishyBoy3811	21
17	HesDemonPants	20
18	Mahoose	17
19	ROY4LE	16
20	diggydog67	15
21	jnp_gaming	14
22	Drlzyy	13
22	XboxPanda	13
22	Hyp3rion_	13
25	12Magner05	12
25	thescout7	12
25	loveseeker	12
25	Freak_Genius	12
29	Bandito_Roamer	11
29	eitanzaki	11
31	error10101	10
31	joethahobo	10
31	Blackberry1310	10
31	Bucscw24	10
31	Hisiste	10
36	mwrty	9
36	SHAOBADMAN	9
36	Fast_Turtle	9
36	Kim_Jong_eel	9
36	JESS_THE_RERE	9
41	SaucyDark	8
41	Ryker	8
41	Ozixar	8
41	fred870d	8
41	Luigipunch989	8
41	Quotary	8
41	Smoke____	8
48	Skippeh	7
49	Dedalus36	6
49	Ssor69	6
49	jacxhadow	6
49	set67	6
49	thewindmillman	6
49	Rebytre	6
49	Werbe	6
49	Frozil12	6
49	MeetTheWollo	6
58	teslawolf38	5
58	EMC_	5
58	diamondgolem35	5
58	RebelAndroid	5
58	MSK__	5
58	ProfessorBee	5
58	500am	5
58	UncreativeArtist	5
58	LotusProject	5
58	Kubelz	5
58	Chromary	5
58	Rumpletaezer	5
58	pappaberg	5
58	Soplight	5
58	stellarjay	5
58	xorompole	5
74	hm947	4
74	youhjjhhhjj	4
74	Kakolbus	4
74	Winklepicker279	4
74	mariominejedi	4
74	Marbz_	4
74	SuperPooch06	4
74	Arceus1975	4
74	LAVA129	4
74	PigDab	4
74	CarryLine	4
74	Maenara	4
74	Wowful	4
74	misomon	4
74	El_Jalapeno	4
74	Cyntrical	4
74	LordAurum	4
74	ProfessorDiaper	4
74	Airem_Core	4
74	IAmTheWalrus910	4
74	pixelviolin	4
74	YungMaki	4
74	obzii	4
74	UltraZombie	4
74	TheALV	4
74	Kubeusz2010	4
100	Jovaphobic	3
100	soundad	3
100	Flores991	3
100	awesomeoneme	3
100	Alphanzt99	3
100	Euclidoris	3
100	Xalithia	3
100	gcaisawesome	3
100	TheDankPlatypus	3
100	Di_infiri	3
100	Jackattack53	3
100	Snowflowe	3
100	Zythose	3
100	ApophisNova	3
100	jewbacaman	3
100	Akoot_	3
100	wezzzi	3
100	fw3xywashere	3
100	Lutres_Torane	3
100	MAns_44	3
100	lordpipe	3
100	MakeHistory157	3
100	Ze_BaronKrigler	3
100	brofrickcheaters	3
100	Sheldor097	3
100	fffMike	3
100	Steelynan	3
100	Ezekson	3
100	CattSoup	3
100	MyNamaSheff	3
100	Enderslayerxz3	3
131	TooManyDuck	2
131	Zippyzam	2
131	NinjaKnifeKill	2
131	beeperbeeper5	2
131	Comma__	2
131	BobDeBouwer1337	2
131	bloodbiter	2
131	Megarboh	2
131	Sloths_Ender	2
131	crying_wolf_13	2
131	_Magdo_	2
131	__TheNorseMan__	2
131	M_Patata	2
131	Mobstr	2
131	CaptainSteve345	2
131	King_Pancake1	2
131	SpaggeDR	2
131	Truckoss	2
131	skelctal	2
131	Jonte0599	2
131	victorLIE	2
131	ToastedGamingYT	2
131	Dan_Scha	2
131	AuroraSkies	2
131	NoChumpChange	2
131	MinuteMira	2
131	balin55	2
131	_Karmaa	2
131	Quaintster	2
131	fluddd	2
131	wwwwinnebagoooo	2
131	Dusk_95	2
131	MasterNueve	2
131	sp00ky_ghost977	2
131	Kyrum2169	2
131	Segotep999	2
131	Nekomin0	2
131	DennyKai	2
131	Soffbord	2
131	Eczbek	2
131	Hermanni__	2
131	RadarHz	2
131	kinas45y5	2
131	EcksDofficial	2
175	Gary_	1
175	SaltineDream	1
175	Louiis123	1
175	Groovy_MoonBird	1
175	nataliecool	1
175	littlesophiagirl	1
175	fanofbands101	1
175	Cowison	1
175	JEWISHBadenBeele	1
175	The_Great_Jake	1
175	Merv__	1
175	q_wq	1
175	Yatitay	1
175	6king6colt6	1
175	chimpmunker	1
175	KarlKaek	1
175	Houstonion	1
175	Tolhart	1
175	Frozt99	1
175	_Razar	1
175	Wooptey	1
175	Jahara	1
175	Seyaboy	1
175	CoffeeNoir	1
175	Ao_Ken	1
175	Da_Boss_Rani	1
175	Howertt	1
175	uhm__okay	1
175	FirsTimeGamingTV	1
175	rarrq	1
175	Valoth	1
175	cowgirlkasia	1
175	TheSecondLord	1
175	jushykins	1
175	lordsaladito	1
175	Smashic	1
175	Kkanot	1
175	Kamflame10	1
175	egglapras	1
175	Awyrlas	1
175	Stiar	1
175	theonlymagikarp	1
175	Paintz	1
175	benediktine1	1
175	DermeinUser	1
175	Zorin_Blitz	1
175	FennYuzuna	1
175	ImDisconnected_	1
175	ReverendSmith	1
175	whoaluv	1
175	burbankbuilder28	1
175	killmeiamtraitor	1
175	JitteryJared2	1
175	NarwhalTaco	1
175	_Boipl_	1
175	MangoTheFish	1
175	Rocco_Lane	1
175	The_Fulgurator	1
175	The11thDoctor	1
175	KartivGal	1
175	MinerDec	1
175	Shavrin	1
175	xo_Marren_xo	1
175	HolyVenom	1
175	Hail_the_wombat	1
175	lizardfightclub	1
175	Leyna3	1
175	RodSerlingCringe	1
175	Leonidas2k17	1
175	TheTrueClipse	1
175	Lord_Jord	1
175	MrQuanQuan	1
175	NomadicRobin_	1
175	Deathkob	1
175	ori0le	1
175	lillips	1
175	chipklip	1
175	ebanana	1
