rank	username	minecraft:mined/minecraft:red_nether_bricks
1	Legendosh	2411
2	ooga47	1910
3	TheShyPig	688
4	12Magner05	491
5	FreakGenius	420
6	m_be9	400
7	YungMaki	341
8	himak1	244
9	kekhon	193
10	noam464	188
11	MilleGrug	186
12	Eraxa	171
13	ApophisNova	162
13	MyNamaSheff	162
15	Marbz_	126
16	k_ce	74
17	PazinGaming	44
18	Steelynan	34
19	stavgod	27
20	livingdaydreams	25
21	Blu3beast	21
22	thewindmillman	18
23	_Huge_Male_	17
24	Bandito_Roamer	11
24	rarrq	11
24	The_slideV3	11
27	Sral7	10
28	Snowflowe	7
28	Kowcio_	7
30	eitanzaki	5
30	Kkanot	5
30	ROY4LE	5
30	Hermanni__	5
30	jnp_gaming	5
35	Groovy_MoonBird	4
35	ProfessorBee	4
35	skrongus	4
35	h2p_emrld	4
39	Sabby65	3
39	beeperbeeper5	3
39	Xalithia	3
39	AnnieBathory	3
39	Rebytre	3
44	Jovaphobic	2
44	JohnnyFyes	2
44	Merv__	2
44	EMC_	2
44	Frozil20	2
44	ExtraDumb	2
44	Hpdinosaur	2
44	Mahoose	2
44	SteveCraftBlocks	2
44	Fullut	2
44	Onennon	2
44	sammidk	2
44	Kura2218	2
44	jcool7	2
44	mobunni	2
44	ConnorDanky_	2
44	00000000-0000-0000-0009-01faf4342590	2
61	diamondgolem35	1
61	hm947	1
61	_Razaria	1
61	joethahobo	1
61	Blackberry1310	1
61	_Dean_123	1
61	F_Uhre	1
61	Kynigito	1
61	LeonelSalamanca	1
61	lordpipe	1
61	Jimb0nat0r	1
