rank	username	minecraft:mined/minecraft:ochre_froglight
1	non089	1622
2	Enderxz3	501
3	Hyp3rion_	415
4	Lez_	347
5	Jackattack53	287
6	ECstardust	260
7	Kowcio_	205
8	hanaryheatwave	150
9	Crowman1	126
10	weabis	114
11	mihimihimihi	88
12	Krowuss	71
13	ImpavidArcher	68
14	catandmoose	51
15	Alteriity	48
16	Manaateee	41
17	joethahobo	39
17	CattSoup	39
19	Jimb0nat0r	35
20	MineMaster0012	34
21	PazinGaming	29
22	Elastiq	26
23	jessewegottacook	21
24	TheSecondLord	19
25	xxPipperDipperxx	17
26	Huwulling	16
27	luseis	15
28	pintsizedrogue	11
28	lordpipe	11
30	Nicserso	8
31	EMC_	7
31	Fuad_R	7
31	Legendosh	7
34	olliebollie48	5
34	thewindmillman	5
34	ZoomieZoomie	5
37	Marbz_	4
37	SvenskaHugo	4
39	Photosynthesis_s	3
40	diamondgolem35	2
40	Smashic	2
40	excelsionprime	2
40	TheWildMateo	2
40	JoeSaysBingBong	2
40	iSammael	2
46	RoskobiOne	1
46	Merv__	1
46	beeperbeeper5	1
46	rarrq	1
46	drunkeeez	1
46	Kondzik2008	1
46	bearlystraight	1
46	StinkyDiplomat	1
46	Steelynan	1
46	AdmiralSmoke	1
