rank	username	minecraft:mined/minecraft:blast_furnace
1	pintsizedrogue	522
2	PlasticOtari	415
3	Historical_Sand	272
4	diamondgolem35	93
5	TheSecondLord	73
6	FreakGenius	69
7	SmashingPump	61
8	500am	60
9	h2p_emrld	53
10	Fullut	52
10	Airem_Core	52
12	Blaiku	50
13	noam464	47
13	yulgur1	47
15	kekhon	43
16	Groundler	42
17	Akoot_	39
18	Enderxz3	38
19	Yatitay	35
19	IamCL4SSY	35
21	HellsSponge	34
22	_i_ERROR_i_	33
23	Lutres_	32
24	Cortexia	30
24	kyouma777	30
26	Mahoose	28
27	ROY4LE	27
28	Hisiste	26
28	pixelviolin	26
30	Spacewardharpy7	24
30	_Meow_Mix	24
32	__tomato	23
32	xolstoi	23
34	TheDankPlatypus	22
34	yheece	22
36	Kakolbus	21
37	tsitrawhy	20
38	KarlKaek	18
38	Blackberry1310	18
38	ProfessorDiaper	18
38	sp00ky_ghost977	18
38	_3Stump_	18
43	rarrq	17
43	luseis	17
43	Manaateee	17
43	layabout100	17
43	Luigipunch989	17
48	Ssor69	16
48	Soplight	16
50	Skylord_Luke	15
50	Werbe	15
52	Frozil20	14
52	Di_infiri	14
52	Solar_Power	14
52	pappaberg	14
52	DarkS0L	14
52	TheOuterCore	14
52	calamariclam_I	14
59	corvidpartyfor6	13
59	UncreativeArtist	13
59	Bumpy419	13
59	wezzzi	13
59	MAns_44	13
59	MilleGrug	13
65	ITDV	12
65	H72l9w	12
65	Snowflowe	12
65	jewbacaman	12
65	Burge_r	12
65	Skippeh	12
65	Legendosh	12
72	Mr_Byzantine	11
72	Prodiginus	11
72	CharlieButt	11
72	EveryonesUncle	11
72	Decaying_Lotus	11
77	TildaAndrea	10
77	Hyugo	10
77	Zedducius	10
77	trixterrx	10
77	ApophisNova	10
77	Vetral1	10
77	bearlystraight	10
77	fluddd	10
77	MovingFish7	10
77	Kowcio_	10
77	obzii	10
77	MyNamaSheff	10
77	MirielThePastor	10
77	00000000-0000-0000-0009-01ff0c3e5e4f	10
91	_Virify_	9
91	PazinGaming	9
91	KingFaenor	9
91	Comma__	9
91	Xalithia	9
91	Kubelz	9
91	KartivGal	9
91	HeraclesOGU	9
91	masskedman	9
91	1442	9
91	EngagedGrub41	9
91	RadarHz	9
103	fanofbands101	8
103	Tommhh	8
103	BlancoFlaco	8
103	ShedJr_	8
103	Mewar	8
103	Arceus1975	8
103	Jiminbub	8
103	Deathkob	8
103	Nycteus_	8
103	censorsheep	8
103	starbits140	8
103	Njensen7	8
103	Hermanni__	8
116	Crowvens	7
116	SaucyDark	7
116	ewsophie	7
116	gilesmcriles	7
116	TheShyPig	7
116	AlphaWolfPlaysMC	7
116	Tyrannosplart	7
116	Xclax101	7
116	YungMaki	7
116	Kubeusz2010	7
116	AdmiralSmoke	7
127	heysushii	6
127	CLG_Kata	6
127	PhantomsGhost_	6
127	youhjjhhhjj	6
127	ivorico	6
127	SquadMonster	6
127	Cryptacity	6
127	ProfessorBee	6
127	mwrty	6
127	lorpus	6
127	eiC_	6
127	thewindmillman	6
127	Onennon	6
127	Mattesco	6
127	Project_MKBRD	6
127	Kim_Jong_eel	6
127	YungWali	6
127	_Karmaa	6
127	33sudo	6
127	SSytex_X	6
127	stellarjay	6
127	Steelynan	6
127	JayToe	6
150	H0UNDFRMH3LL	5
150	Bandito_Roamer	5
150	lewieinnit	5
150	MikeIsSalty	5
150	joethahobo	5
150	301851	5
150	Euclidoris	5
150	Malorn_Aetherius	5
150	jacxhadow	5
150	MinttyFressh	5
150	Megarboh	5
150	gcaisawesome	5
150	prizm_	5
150	Lord_Zacler	5
150	wobn	5
150	Avocadogerms	5
150	EfficientC52	5
150	El_Jalapeno	5
150	mihimihimihi	5
150	Bonzaidalek	5
150	Ze_BaronKrigler	5
150	stavgod	5
150	brofrickcheaters	5
150	KingMatthew506	5
150	amkold	5
150	Oxygen16	5
150	TechnoNinja64	5
177	Apollo_993	4
177	Ryker	4
177	Franco093	4
177	Humpcat	4
177	Huwulling	4
177	MoistMicrowave	4
177	peach0s	4
177	Vizzoid	4
177	set67	4
177	Gingayy	4
177	Bolete	4
177	AnnieBathory	4
177	The11thDoctor	4
177	SpaggeDR	4
177	TeenMomTom	4
177	Drewen24	4
177	Rasmanden	4
177	Lord_Jord	4
177	xDraggin	4
177	Fuhrer_Teemo	4
177	The_Quack_Dealer	4
177	Leeeegend	4
177	Eraxa	4
177	Segotep999	4
177	mobunni	4
