rank	username	minecraft:mined/minecraft:trapped_chest
1	El_Jalapeno	511
2	MattieHD	49
3	Di_infiri	38
4	Merv__	24
5	beeperbeeper5	18
6	HellsSponge	17
7	MangoTheFish	13
7	Eczbek	13
7	Legendosh	13
10	bloodbiter	11
10	noam464	11
12	MyNameIsJobo	8
13	Maenara	7
13	EveryonesUncle	7
13	FreakGenius	7
16	TheShyPig	6
16	Shogunite	6
16	Spacewardharpy7	6
16	OfficerAnvil	6
20	livingdaydreams	4
20	TheSecondLord	4
20	Fildyr	4
20	EcksD	4
24	Houstonion	3
24	H72l9w	3
24	Lauratheking	3
24	Zythose	3
24	Wowful	3
24	Hisiste	3
24	__tomato	3
24	EngagedGrub41	3
32	Incinere	2
32	eitanzaki	2
32	Malorn_Aetherius	2
32	thescout7	2
32	Jackattack53	2
32	PigDab	2
32	Airem_Core	2
32	IAmTheWalrus910	2
32	xolstoi	2
41	Mr_Byzantine	1
41	ImpavidArcher	1
41	Mahoose	1
41	ShedJr_	1
41	m_be9	1
41	kekhon	1
41	500am	1
41	Tmb1	1
41	SellyZ	1
41	Smussa	1
41	ougstur	1
41	Jaka_Saurus_715	1
41	ReflexCode	1
41	YungMaki	1
41	Soplight	1
41	Smoke____	1
