rank	username	minecraft:mined/minecraft:brain_coral_fan
1	thewindmillman	302
2	Di_infiri	126
3	Kouridragon	118
4	Jackattack53	106
5	Legendosh	95
6	pintsizedrogue	38
7	ImpavidArcher	36
8	12Magner05	32
8	TheShyPig	32
8	Enderxz3	32
11	doublemaki	29
12	500am	27
13	Alteriity	26
13	Hyp3rion_	26
15	Nicserso	25
16	Lez_	24
17	Xalithia	23
18	_Dean_123	21
19	lordpipe	15
20	RoskobiOne	14
20	Mahoose	14
20	Onennon	14
20	luseis	14
24	PazinGaming	13
24	skroobiez	13
24	beeperbeeper5	13
24	Inbefour	13
28	kekhon	12
28	Fullut	12
28	XxCookiequeenxX	12
31	Ssor69	10
31	MattieHD	10
31	Vetral1	10
31	djancak	10
35	eitanzaki	9
35	__tomato	9
35	TheWickedBird	9
38	noam464	8
39	j5ylim	7
39	Merv__	7
39	craaaash	7
39	Marbz_	7
39	Maenara	7
39	Jiminbub	7
39	SkateboardR6	7
46	Mewar	6
46	ApophisNova	6
46	Quaintster	6
46	Druid95	6
46	MyNamaSheff	6
51	MyMawgDonaldsGon	5
51	TheSecondLord	5
51	Rumpletaezer	5
51	Arceus1975	5
51	burbankbuilder28	5
51	HellsSponge	5
51	Typadopoulos	5
58	robertsnose	4
58	Iagoku	4
58	livingdaydreams	4
58	Blackberry1310	4
58	eiC_	4
58	Kakolbus	4
58	MyNameIsJobo	4
58	milltesco	4
58	Bumpy419	4
58	Rebytre	4
58	Voxin2K	4
58	mihimihimihi	4
58	_3Stump_	4
58	KingMatthew506	4
58	TechnoNinja64	4
73	AuroraValkyrie	3
73	SaucyDark	3
73	surfinggiraffejp	3
73	gamerlord1324	3
73	SuperPooch06	3
73	Hiryu27	3
73	Mattesco	3
73	Kynigito	3
73	Blu3beast	3
73	iSammael	3
73	Kura2218	3
73	Pumpkin_P_Patch	3
73	Soplight	3
73	Fizznut909	3
73	SpacesickPrism	3
73	Jimb0nat0r	3
73	PlasticOtari	3
73	Yamdalorian	3
91	dimondking777	2
91	diamondgolem35	2
91	Archsam	2
91	titanlax	2
91	hanaryheatwave	2
91	RobotMinion101	2
91	AlexxO_o	2
91	Akoot_	2
91	TheSeismicDuck	2
91	NameGenerat0r	2
91	IdeallyGrey	2
91	Luigipunch989	2
91	fffMike	2
91	EcksD	2
91	Powowowow	2
91	Sral7	2
107	H0UNDFRMH3LL	1
107	Bandito_Roamer	1
107	Apollo_993	1
107	6king6colt6	1
107	Caribouse	1
107	RatatJuice	1
107	the_fireminer	1
107	BodaciousCake	1
107	T045RTY	1
107	Huwulling	1
107	Prismyst	1
107	ShedJr_	1
107	joethahobo	1
107	urbeans	1
107	Ozixar	1
107	ratglock	1
107	_Nat666	1
107	catandmoose	1
107	poopybh	1
107	_witch_craft_	1
107	CrookedKaptain	1
107	Inchef	1
107	r123moore	1
107	Covalents	1
107	TheDankPlatypus	1
107	NotoriousNina	1
107	M_Patata	1
107	CollinMH06	1
107	legal_tax_evader	1
107	Chromary	1
107	Krowuss	1
107	domagawha	1
107	Azmodan_246	1
107	Shiirazu	1
107	PigDab	1
107	Dragonlfw	1
107	J4k__	1
107	HolyVenom	1
107	groofles	1
107	Nicky19	1
107	fw3xy	1
107	AuroraSkies	1
107	EveryonesUncle	1
107	Deathkob	1
107	AspenLightVT	1
107	balin55	1
107	Tyrannosplart	1
107	YungWali	1
107	1442	1
107	FreakGenius	1
107	Xclax101	1
107	_flud	1
107	Spacewardharpy7	1
107	MovingFish7	1
107	MasterNueve	1
107	WyngGoy	1
107	ZoharGoldMine	1
107	plato2066	1
107	pixelviolin	1
107	Kowcio_	1
107	stellarjay	1
107	PortlyPete69	1
107	_i_ERROR_i_	1
107	Western_1	1
107	Steelynan	1
107	laron58	1
107	erkada	1
107	TheOuterCore	1
107	OfficerAnvil	1
107	HuangMeiHua	1
107	Biites	1
107	diggydog67	1
