rank	username	minecraft:mined/minecraft:rooted_dirt
1	j5ylim	2008
2	Manaateee	1771
3	AlexxO_o	1560
4	500am	1314
5	Segotep999	1295
6	EMC_	1121
7	Rebytre	855
8	Enderxz3	822
9	pintsizedrogue	718
10	AdmiralSmoke	706
11	SpacesickPrism	610
12	Marbz_	521
13	Legendosh	502
14	TheSecondLord	483
15	MilleGrug	463
16	Jackattack53	450
17	luseis	398
18	RebelAndroid	354
19	pixelviolin	302
20	LeEricc	296
21	Avocadogerms	231
22	GooseWithin	227
23	PlasticOtari	210
24	Mr_Byzantine	189
25	ZaneABrain	186
25	Masssonnn	186
27	00000000-0000-0000-0009-01ff0c3e5e4f	171
28	Samificator	165
29	Soplight	164
30	excelsionprime	157
31	Frozil20	149
32	Lutres_	145
33	Groovy_MoonBird	143
34	Sleepy_Time_	121
35	Alteriity	109
36	Iamthejo	101
37	thebaddruid	95
38	ITDV	93
39	longappendage	85
40	TheALV	84
41	AuroraSkies	81
42	12Magner05	76
43	Koffeeinz	74
44	Yahir091	68
45	H0UNDFRMH3LL	67
45	PortlyPete69	67
47	nattybears	62
47	Inchef	62
49	Steelynan	56
50	SmashingPump	42
51	thewindmillman	40
52	k_ce	36
52	OreTheBear	36
54	_Huge_Male_	34
55	oscminus	33
56	PaperCanvas	31
56	Druid95	31
58	Blackberry1310	30
59	MineMaster0012	28
60	Kowcio_	27
61	hanaryheatwave	26
62	athereall	24
63	_Nat666	23
63	CollinMH06	23
65	Elastiq	22
66	Hahaa_0	21
66	EveryonesUncle	21
66	SvenskaHugo	21
69	Merv__	19
69	Klerick	19
71	eitanzaki	18
71	Kakolbus	18
71	Krowuss	18
74	NomadicRobin_	17
75	Nicserso	16
76	lordpipe	14
77	MAns_44	13
78	ScootOfBoot	12
79	ARandomHedge	11
79	2blox_	11
81	PazinGaming	10
81	jessewegottacook	10
81	Reneedium	10
84	Mahoose	9
84	Dakar_	9
84	ZoomieZoomie	9
84	Jimb0nat0r	9
88	Mattesco	8
88	wwwwinnebagoooo	8
88	AltnumberF4	8
91	beeperbeeper5	7
91	Hyp3rion_	7
93	CoffeeNoir	6
93	Huwulling	6
93	Skippeh	6
96	ImpavidArcher	5
96	Jimi7hits	5
98	hm947	4
98	himak1	4
98	groofles	4
101	Dumkii	3
101	KarlKaek	3
101	SyntheticSurgeon	3
101	xxPipperDipperxx	3
101	_Boipl_	3
106	Arceus1975	2
106	PigDab	2
106	fluddd	2
106	mihimihimihi	2
106	UCP_TheKingK	2
106	SammiWolfGirl	2
112	Ryker	1
112	ShedJr_	1
112	Lez_	1
112	rarrq	1
112	Crowman1	1
112	MattieHD	1
112	LeauVox4921	1
112	shadowthemonkey	1
112	Winklepicker279	1
112	corpsecity	1
112	JETrotter	1
112	Mr_Sun15	1
112	DarkS0L	1
112	Fuad_R	1
112	StinkyDiplomat	1
112	Toriankel	1
112	iSammael	1
112	_i_ERROR_i_	1
112	CattSoup	1
112	xolstoi	1
112	MadmanRaven	1
