rank	username	minecraft:mined/minecraft:white_bed
286	SpaceGrenadier	5
286	NieToksikpl	5
286	PoofHairGuy	5
286	YungJakobo	5
286	MinttyFressh	5
286	MattieHD	5
286	_Nuf	5
286	Jokerman369	5
286	lilsay	5
286	LotusProject	5
286	ItzYaBoiPicard	5
