rank	username	minecraft:mined/minecraft:oak_wall_hanging_sign
1	Reneedium	12
2	Koalander	8
2	oscminus	8
4	PazinGaming	4
4	EveryonesUncle	4
6	pintsizedrogue	3
6	Niklas20114552	3
6	Huwulling	3
6	Mattesco	3
10	FiguraDei	2
11	Pumpkin_P_Patch	1
11	Steelynan	1
