rank	username	minecraft:mined/minecraft:magenta_concrete
1	lordpipe	8475
2	YungMaki	3424
3	Ezekson	2507
4	Spacewardharpy7	1683
5	ROY4LE	1298
6	beeperbeeper5	1238
7	Zedducius	1064
8	PigDab	904
9	xxPipperDipperxx	654
10	sp00ky_ghost977	321
11	_Huge_Male_	301
12	LordSpeed37	271
13	TheSecondLord	256
14	MakeHistory157	210
15	CornOnTheCobalt	175
16	xzvu	145
17	jnp_gaming	118
18	Manaateee	114
19	Fullut	110
20	ConnorDanky_	96
21	pintsizedrogue	77
22	Boipl	75
23	Lez_	67
24	T045RTY	64
24	noam464	64
26	SvenskaHugo	62
27	HellsSponge	50
28	Swexti	47
29	Merv__	40
30	k_ce	38
31	WyngGoy	36
32	pr33tu	28
33	thewindmillman	26
34	Yamdalorian	23
35	Avocadogerms	16
35	SammiWolfGirl	16
37	RoboTramp7865	15
38	Arceus1975	13
39	500am	10
39	luseis	10
41	joethahobo	8
41	VentiHilton	8
41	Jimb0nat0r	8
44	lunkuku	6
45	NameGenerat0r	5
46	Mahoose	4
46	Legendosh	4
48	ShedJr_	3
48	mwrty	3
48	mariominejedi	3
48	Mattesco	3
48	Blaiku	3
53	Groovy_MoonBird	2
53	PazinGaming	2
53	xXTheWolfmanXx	2
53	Hpdinosaur	2
53	Jackattack53	2
53	Truckoss	2
53	pixelviolin	2
53	MilleGrug	2
61	bigstankyy	1
61	rarrq	1
61	Hyp3rion_	1
61	MousePlays	1
61	FishyBoy3811	1
61	EdGalbraith	1
61	Buuck_	1
61	Kowcio_	1
61	Segotep999	1
61	jcool7	1
61	EcksD	1
61	skitzxo	1
