rank	username	minecraft:mined/minecraft:crimson_fungus
1	RebelAndroid	177
2	Snowflowe	129
3	Lutres_	126
4	Enderxz3	115
5	Lord_Jord	114
6	Marbz_	108
7	gcaisawesome	89
8	k_ce	86
9	Huwulling	80
10	AstreaTSS	76
11	Fullut	75
12	Kakolbus	74
13	CliffEmAll	65
14	RoskobiOne	62
15	Blackberry1310	59
16	12Magner05	53
17	pintsizedrogue	52
18	_witch_craft_	51
18	lordpipe	51
20	pixelviolin	50
21	thewindmillman	49
22	Lez_	47
23	noam464	43
24	Merv__	38
24	Historical_Sand	38
24	shadowthemonkey	38
24	Skylord_Luke	38
24	doublemaki	38
29	beeperbeeper5	37
29	500am	37
29	Blaiku	37
29	PlasticOtari	37
33	TheEnderMan548	35
33	SammiWolfGirl	35
33	Jimb0nat0r	35
36	hanaryheatwave	32
37	Mr_Byzantine	31
37	Kowcio_	31
39	Awyrlas	30
39	Nicserso	30
41	Legendosh	29
42	breadbowlgamer	27
43	Hyp3rion_	26
43	Yamdalorian	26
45	HellsSponge	25
46	r123moore	24
47	joethahobo	23
48	CoffeeNoir	21
48	lizardfightclub	21
50	BobDeBouwer1337	20
51	PazinGaming	19
51	hermmm_	19
53	kekhon	18
53	diggydog67	18
55	Kubelz	17
56	NutellaPenguinz	16
56	catandmoose	16
58	Manaateee	15
58	PortlyPete69	15
60	ShedJr_	14
61	TechnoNinja64	13
62	eitanzaki	12
62	T045RTY	12
62	excelsionprime	12
62	Di_infiri	12
62	Ezekson	12
62	jnp_gaming	12
68	SpartanNamor	11
68	FreakGenius	11
68	brofrickcheaters	11
71	Mahoose	10
71	crying_wolf_13	10
71	wwwwinnebagoooo	10
74	soundad	9
74	Galactic_Badger	9
74	Paul_Katan	9
74	Vegvisir	9
74	djancak	9
79	steppe_nomad	8
79	gustarlep	8
81	EMC_	7
81	Prismyst	7
81	jacxhadow	7
81	Dynamic_wolf_1	7
81	Chromary	7
81	Arceus1975	7
81	U_Mos_	7
81	PigDab	7
81	luseis	7
81	MightyWertu	7
81	Colmer94	7
81	Segotep999	7
81	athereall	7
94	tuckerdoodle	6
94	QuiCreans	6
94	rarrq	6
94	Xalithia	6
94	Jackattack53	6
94	KeruNatsema	6
94	Buuck_	6
94	Eon_57	6
102	Cowison	5
102	BlancoFlaco	5
102	livingdaydreams	5
102	bloodbiter	5
102	UncreativeArtist	5
102	corpsecity	5
102	ConnorDanky_	5
102	FishisTTV	5
110	Ryan_GEMS	4
110	Myszoaz	4
110	Tersea_	4
110	mwrty	4
110	PegLegPete93	4
110	Inchef	4
110	Krowuss	4
110	oscminus	4
110	TheShyPig	4
110	Akoot_	4
110	EveryonesUncle	4
110	Deathkob	4
110	DemTechAlpha	4
110	weabis	4
110	Spacewardharpy7	4
110	sp00ky_ghost977	4
110	_Mythic____	4
110	SpacesickPrism	4
110	taengoos	4
110	00000000-0000-0000-0009-01ff0c3e5e4f	4
130	j5ylim	3
130	AuroraValkyrie	3
130	Hpdinosaur	3
130	Alteriity	3
130	TheSecondLord	3
130	TheDankPlatypus	3
130	craaaash	3
130	trixterrx	3
130	CarltheCuck	3
130	whoaluv	3
130	Rebytre	3
130	ooga47	3
130	zToasty69z	3
130	HolyVenom	3
130	DarlaMeow	3
130	Vorlice	3
130	monky_irl	3
130	Eraxa	3
130	07shiny	3
130	IdeallyGrey	3
130	obzii	3
130	Winston_Ingram	3
130	Steelynan	3
130	cichy096	3
130	CattSoup	3
155	CLG_Kata	2
155	PhantomsGhost_	2
155	diamondgolem35	2
155	hm947	2
155	RatatJuice	2
155	Ryker	2
155	Swexti	2
155	Tiberonus	2
155	Master_Kol	2
155	lorpus	2
155	olliebollie48	2
155	pumpfonzo	2
155	KartivGal	2
155	Mattesco	2
155	Moofyman	2
155	NomadicRobin_	2
155	Dakar_	2
155	DanTheBuilderino	2
155	Druid95	2
155	Soplight	2
155	robonya_	2
155	CalebDHawk	2
155	Sheldor097	2
155	Invintic	2
155	fffMike	2
155	mobunni	2
181	H0UNDFRMH3LL	1
181	Lorcout	1
181	catiefsm	1
181	Yatitay	1
181	Wolf_Mauler_73	1
181	MyMawgDonaldsGon	1
181	Jindong	1
181	NotMyLucKMC	1
181	77Holly7	1
181	ImpavidArcher	1
181	__lizi	1
181	jimbo61101jr	1
181	McCakeAh	1
181	MSK__	1
181	royal_2	1
181	titanlax	1
181	Crowman1	1
181	Secret_Canary	1
181	eclipseboi	1
181	_Dean_123	1
181	philandr	1
181	lpinfinity	1
181	set67	1
181	thescout7	1
181	finbob5	1
181	theonlymagikarp	1
181	gamerlord1324	1
181	DisgruntledKoala	1
181	M_Patata	1
181	Winklepicker279	1
181	Malware_Mara	1
181	King_Pancake1	1
181	thebaddruid	1
181	Jekyll	1
181	Werbe	1
181	Sqwishy	1
181	Nadhorion	1
181	Elastiq	1
181	EdGalbraith	1
181	masskedman	1
181	Gryglu583	1
181	NoChumpChange	1
181	NameIsSeven	1
181	MAns_44	1
181	El_Jalapeno	1
181	blackeemperor	1
181	GravitySaint	1
181	Toriankel	1
181	TheTommyGun63	1
181	MasterNueve	1
181	ZeaBaron	1
181	miramyu	1
181	MilleGrug	1
181	TheALV	1
181	Njensen7	1
181	elliebelle107	1
181	Kubeusz2010	1
181	chiakirice	1
181	Skippeh	1
181	EcksD	1
181	GregLeMond	1
181	Jordan_R	1
