rank	username	minecraft:mined/minecraft:magenta_stained_glass_pane
1	YungMaki	92
2	Smoke____	70
3	lordpipe	58
4	beeperbeeper5	47
5	jnp_gaming	45
6	6king6colt6	44
7	SoftSix	24
8	NomadicRobin_	18
8	AltnumberF4	18
10	ShedJr_	17
10	Winklepicker279	17
12	PeteO1995	15
12	PigDab	15
14	XboxPanda	11
15	UncreativeArtist	10
16	TheSecondLord	9
17	MakeHistory157	8
18	EMC_	7
19	Steelynan	6
20	livingdaydreams	4
20	roxycherry	4
20	HesDemonPants	4
23	noam464	3
23	Ezekson	3
23	OnlyOfficial	3
26	pr33tu	2
26	Rumpletaezer	2
26	Leonidas2k17	2
26	TheEnderman548	2
30	Nycteus_	1
30	Spacewardharpy7	1
30	Sral7	1
