rank	username	minecraft:mined/minecraft:mossy_cobblestone
1	500am	2626
2	EveryonesUncle	1751
3	Enderslayerxz3	1641
4	MyNameIsJobo	901
5	pintsizedrogue	760
6	seramalen	637
7	kekhon	612
8	Kubelz	405
9	RefluxRatio	386
10	Jovaphobic	385
11	Akoot_	383
12	Xalithia	350
12	Maenara	350
14	thewindmillman	333
15	Fullut	304
16	diggydog67	301
17	BlancoFlaco	299
18	Ecplosive	285
19	joethahobo	275
20	SaltineDream	262
21	chipklip	253
22	gcaisawesome	243
23	MyNameIsDakar	237
24	lcvezra	232
25	AlexStrange	228
26	HellsSponge	224
27	El_Jalapeno	217
28	Smoke____	197
29	Freak_Genius	194
30	Prodiginus	192
31	layabout100	185
32	rarrq	181
33	RoskobiOne	160
34	Marbz_	154
35	surfinggiraffejp	152
35	CrateOfBoxes	152
37	Skylord_Luke	149
38	Hyp3rion_	147
39	beeperbeeper5	146
40	RodSerlingCringe	144
41	fkGrim	140
42	4774	139
43	PigDab	131
43	Kowcio_	131
45	TechnoNinja64	130
46	sufjanlover	129
46	Spacewardharpy7	129
48	YungMaki	122
49	Bumpy419	120
50	Di_infiri	118
51	Ryker	116
51	RedcatVII	116
53	burbankbuilder28	114
53	Cyntrical	114
55	rotten_mango	113
56	Roikdean	110
57	xxPipperDipperxx	109
58	ROY4LE	108
59	fred870d	106
60	TooManyDuck	98
61	SingedBread	96
62	Ripzch	95
63	Fuad_R	92
64	eviltunix	91
64	Toiton	91
66	Inchef	90
66	Barlycorn	90
68	Frozil12	89
68	Warlord324	89
70	thescout7	88
70	groofles	88
70	Eraxa	88
73	mwrty	87
74	Deathkob	86
74	PlasticOtari	86
76	Ezekson	85
77	Racengan	84
78	Alteriity	82
79	__Fanda__	81
79	andy_rex	81
79	Onennon	81
82	TheShyPig	80
83	TheSecondLord	79
83	emrekn	79
85	KarlKaek	78
85	SaucyDark	78
87	12Magner05	77
88	Prismyst	76
88	ooga47	76
90	q_wq	75
91	Mahoose	74
91	Werbe	74
91	TheSeismicDuck	74
94	Weepingbiel	72
95	ShedJr_	71
95	Rainaldus	71
95	Erased_Identity	71
98	ese_wn_po	70
99	Pyrrhocococo	68
99	Kakolbus	68
101	SpicyMeatballs	67
101	CharlieButt	67
101	AlexxO_o	67
104	slkiey	66
104	Moofyman	66
104	lizardfightclub	66
107	ivorico	65
108	Powowowow	64
109	Malorn_Aetherius	63
109	CaptainDeadBread	63
109	Jiminie	63
112	Purplehere	62
112	monky_irl	62
112	mawileite	62
115	lordofthelight95	61
115	Meatlaugh	61
117	6king6colt6	60
117	ImDisconnected_	60
117	Segotep999	60
120	Menthas	58
120	audiocracked	58
120	kinas45y5	58
123	Wooptey	57
123	Inbefour	57
125	oxfordschool	56
126	Zaridey	55
126	Snowflowe	55
128	Winklepicker279	54
129	EMC_	53
129	Scathra	53
129	Commander_Ange	53
129	Kubeusz2010	53
133	RebelAndroid	52
133	ewsophie	52
133	MattieHD	52
133	SteveCraftBlocks	52
133	Jackattack53	52
133	Sky_light_KING	52
133	Blu3beast	52
133	MeetTheWollo	52
141	The_Fulgurator	51
141	wezzzi	51
141	_Tilariel_	51
141	EcksD	51
141	ThatBurritoTh0	51
146	eitanzaki	50
146	selectrix	50
146	HesDemonPants	50
146	EcksDofficial	50
150	Cowison	49
150	Vetral1	49
150	2blox	49
153	Vollkommenheit	48
153	IWorkAtIkea	48
153	noam464	48
153	AJplaysMC_	48
153	BasedEphex	48
153	Njensen7	48
153	UrbanPlanner1978	48
160	Froste131	47
160	PegLegPete93	47
160	stellarjay	47
160	SammiWolfGirl	47
164	fanofbands101	46
164	GravitySaint	46
164	BreadBacon	46
167	The_Thund	45
167	Foof13	45
167	BobDeBouwer1337	45
167	G1ldor	45
167	sp00ky_ghost977	45
172	ormr_kin	44
172	TJawesome09	44
172	Katsuragi0243218	44
172	DemTechAlpha	44
172	ProfessorDiaper	44
177	gilesmcriles	43
177	Kynigito	43
177	PuFY	43
177	laron58	43
181	Natty	42
181	Zythose	42
181	The_Quack_Dealer	42
181	WYFYoyo	42
185	T045RTY	41
185	ratglock	41
185	BilboBaggins23	41
185	_Bguette_	41
185	JohnPrice	41
190	Giannism	40
190	ChrisKyleST3	40
190	FlashMigma	40
190	SvenskaHugo	40
190	CACTUSLAD	40
190	mobunni	40
196	Z3braYTIL	39
196	Russiancat1	39
196	StinkyDiplomat	39
196	Quaintster	39
196	PortlyPete69	39
196	Sral7	39
202	ToastedGamingYT	38
202	little_dUki	38
204	kars0n	37
204	_TCARREIRA_	37
204	MissCeleste7	37
