rank	username	minecraft:mined/minecraft:deepslate_diamond_ore
1	Hyp3rion_	6717
2	500am	4547
3	RealGroot	4104
4	beeperbeeper5	2079
5	Fuad_R	1993
6	thewindmillman	1617
7	Smashic	1209
8	Rebytre	1144
9	MilleGrug	1074
10	pintsizedrogue	1018
11	AlexxO_o	988
12	fade_emerge78823	857
13	Inchef	774
14	YungMaki	768
15	Kowcio_	713
16	luseis	586
17	Wowful	581
18	12Magner05	563
19	groofles	561
20	Enderxz3	522
21	MrKrabOnCoke	507
21	gusstationwerker	507
23	fw3xywashere	469
24	Marbz_	455
25	lordpipe	434
26	Smoke____	431
27	Njensen7	415
28	MinttyFressh	400
29	EMC_	389
30	Soplight	370
31	Alteriity	350
32	binman420	344
32	mihimihimihi	344
34	00000000-0000-0000-0009-01ff0c3e5e4f	331
35	Mattesco	328
36	PlasticOtari	297
37	corvidpartyfor6	256
38	Jackattack53	255
38	MAns_44	255
40	xPixelRainx	241
41	SvenskaHugo	240
42	Kakolbus	238
43	Da_Boss_Rani	217
44	zToasty69z	216
44	SingedBread	216
46	Huwulling	212
46	LeGold	212
48	gcaisawesome	210
49	joethahobo	209
50	Moofyman	205
51	fluddd	204
52	LeauVox4921	194
53	prizm_	190
53	Dan_Scha	190
53	wwwwinnebagoooo	190
56	RoskobiOne	189
57	Snowflowe	184
58	SmashingPump	180
59	AltnumberF4	171
60	Spacewardharpy7	170
61	shrimp_flips	165
62	Megarboh	162
63	tuckerdoodle	160
63	Mahoose	160
65	XboxPanda	158
66	Sharkbyte0	154
67	RebelAndroid	150
68	non089	148
69	hm947	147
70	ZA07	145
70	jcool7	145
72	Jonafrog99	142
73	Iamthejo	138
74	iSammael	135
75	ITDV	127
76	diamondgolem35	126
77	AuroraSkies	124
78	TheSecondLord	121
79	pixelviolin	116
80	Lez_	115
81	LazySupport00	114
82	Masssonnn	107
83	SvenskaAlvar	106
84	Sleepy_Time_	105
85	JitteryJared2	102
86	ItsDeltaMC	99
87	GoofySilly	94
88	BungalowBeet	92
89	HoltGrim	91
90	Killercatty78	89
90	lillips	89
92	SpacesickPrism	87
93	Jimi7hits	85
94	Touched_Bread	84
94	fffMike	84
96	TheWildMateo	82
97	Valoth	80
98	_Huge_Male_	78
99	NoHaHeHa	77
100	TheDankPlatypus	76
101	KGTV	75
102	NLKBuilder	74
103	EveryonesUncle	73
103	tsitrawhy	73
105	KeruNatsema	72
106	LeEricc	71
106	infiniteQuery	71
108	CattSoup	70
109	calamariclam_I	69
110	nut_e	68
110	BronkerBrum	68
110	TheOuterCore	68
110	EcksD	68
114	Winklepicker279	67
115	NATE_the_HALO	66
116	TAKrules	65
116	Lutres_Torane	65
116	coobert42	65
119	Myszoaz	64
119	TheALV	64
121	dimondking777	61
121	Kubelz	61
121	The_Fulgurator	61
124	Crowman1	59
125	SyntheticSurgeon	58
126	CyrusIsTired	57
127	mrnosetackle	56
128	Ryker	55
