rank	username	minecraft:mined/minecraft:pink_tulip
1	500am	318
2	YungMaki	299
3	pintsizedrogue	225
4	TheShyPig	183
4	Rasmanden	183
6	Legendosh	176
7	Hyp3rion_	175
8	BlancoFlaco	105
9	Steelynan	100
10	lordpipe	99
11	Fullut	96
12	IAmTheWalrus910	89
13	beeperbeeper5	88
14	Mahoose	86
15	KeruNatsema	78
16	Freak_Genius	74
17	wezzzi	72
18	oxfordschool	71
19	Racengan	69
20	LeauVox4921	68
21	El_Jalapeno	66
22	SaucyDark	60
23	Arceus1975	55
24	Kakolbus	54
25	kekhon	52
25	Luigipunch989	52
27	ImpavidArcher	48
28	Rumpletaezer	47
29	Smoke____	46
30	toetagnyc	43
31	Malorn_Aetherius	41
32	fred870d	40
32	lcvezra	40
34	Snowflowe	39
34	Jeteight	39
34	00000000-0000-0000-0009-01ff0c3e5e4f	39
37	AnnieBathory	38
37	Inbefour	38
37	__tomato	38
40	SpacesickPrism	37
41	Onennon	34
42	Wooptey	32
43	PeteO1995	31
44	Merv__	30
45	xxPipperDipperxx	29
46	_Dean_123	28
46	_Boipl_	28
48	Di_infiri	27
48	Akoot_	27
50	noam464	26
50	NormanFetus	26
52	djancak	23
52	obtusely	23
54	Kubelz	22
54	Deathkob	22
54	GlitchyPlate810	22
54	jnp_gaming	22
58	CoffeeNoir	21
58	KlausVonStiglitz	21
58	Lirael42	21
61	Marbz_	20
61	ApophisNova	20
61	RobotMinion101	20
61	StinkyDiplomat	20
61	MyNamaSheff	20
66	Windo_licker	18
66	XxCookiequeenxX	18
68	Groovy_MoonBird	17
68	DarlaMeow	17
68	SammiWolfGirl	17
71	MSK__	16
71	Cryptacity	16
73	orxngejuice	14
73	surfinggiraffejp	14
73	Shiirazuku	14
73	Lord_Jord	14
77	thewindmillman	13
77	pappaberg	13
77	kars0n	13
77	sufjanlover	13
77	Soplight	13
77	stellarjay	13
83	Incinere	12
83	Truckoss	12
83	sp00ky_ghost977	12
83	EcksDofficial	12
87	AuroraValkyrie	11
87	burbankbuilder28	11
87	ItsAki_	11
87	Jiminie	11
87	Nycteus_	11
87	_k2x	11
87	OG_Songsee	11
87	Haadrada	11
