rank	username	minecraft:mined/minecraft:grass
1	TheShyPig	18938
2	beeperbeeper5	17842
3	Di_infiri	12124
4	claivin	9552
5	HellsSponge	9082
6	YungMaki	9029
7	Hyp3rion_	8950
8	LordSpeed37	8684
9	EveryonesUncle	8551
10	EMC_	8476
11	Frozil20	8218
12	Blackberry1310	8099
13	Arceus1975	6865
14	Prodiginus	6462
15	mawileite	6143
16	Mahoose	5606
17	luseis	5382
18	kekhon	5161
19	AuroraValkyrie	5098
20	MoistMicrowave	5073
21	Steelynan	5068
22	FreakGenius	5014
23	eitanzaki	4931
24	thewindmillman	4807
25	starbits140	4488
26	Warlord324	4445
27	Apollo_993	4391
28	PeteO1995	4220
29	Kakolbus	4150
30	Lord_Jord	4074
31	Snowflowe	4027
32	500am	3974
33	Spacewardharpy7	3931
34	LeauVox4921	3790
35	excelsionprime	3761
36	xzvu	3611
37	PlasticOtari	3550
38	cedric72	3528
39	corvidpartyfor6	3362
40	PigDab	3341
41	Zaridey	3336
42	FreeMoCo2009	3332
43	PortlyPete69	3308
44	Tyrannosplart	3284
45	Blaiku	3282
46	ApophisNova	3281
47	MyNamaSheff	3279
48	djancak	3210
49	StarCookiees_	3129
50	Dakar_	3039
51	tsitrawhy	3032
52	ProfessorBee	2999
53	Nicserso	2973
54	thescout7	2957
55	Blu3beast	2895
56	Soplight	2885
57	El_Jalapeno	2826
58	Fast_Turtle	2768
58	Sral7	2768
60	Dreamdbr14	2762
61	RoboTramp7865	2727
62	Segotep999	2718
63	KlausVonStiglitz	2682
64	RebelAndroid	2589
65	The11thDoctor	2581
66	07shiny	2580
67	ImpavidArcher	2572
67	DarlaMeow	2572
69	csendeslol	2554
70	Marbz_	2539
71	NatalieTW	2476
72	XxCookiequeenxX	2475
73	markaus77	2452
74	fluddd	2451
75	SammiWolfGirl	2432
76	RyuNeko932000	2407
77	NormanFetus	2353
78	ConnorDanky_	2321
79	hcb238	2293
80	Spenduh	2231
81	Iamthejo	2206
82	ShedJr_	2204
83	burbankbuilder28	2158
84	Wolf_Mauler_73	2122
85	miramyu	2105
86	AuroraSkies	2094
87	seanitoo	2078
88	Gemstuff	2056
89	TheBananaKat	2012
90	CrookedKaptain	2001
91	ROY4LE	1999
92	Swexti	1982
93	Barlycorn	1976
94	Mattesco	1969
95	fkGrim	1939
96	NomadicRobin_	1936
97	TheDankPlatypus	1929
98	ReflexCode	1903
99	Onennon	1902
99	Living_Storms	1902
101	Groovy_MoonBird	1890
102	i2f8x4h8ro	1889
103	RoskobiOne	1869
104	Bumpy419	1864
105	GingerNeutron	1861
106	h2p_emrld	1816
107	Soul_Atreus	1811
108	Luigipunch989	1802
109	Fuad_R	1795
110	Inbefour	1780
111	titanlax	1737
112	xxPipperDipperxx	1732
113	MyNameIsJobo	1710
113	SSytex_X	1710
115	mihimihimihi	1706
116	_TCARREIRA_	1688
117	sp00ky_ghost977	1684
118	Manaateee	1655
119	calamariclam_I	1654
120	PhantomsGhost_	1648
121	himak1	1640
122	Lutres_	1592
123	livingdaydreams	1581
124	T045RTY	1578
125	SyntheticSurgeon	1570
126	Mowelan	1565
127	Hisiste	1560
128	PazinGaming	1556
129	FishyBoy3811	1554
130	slkiey	1552
131	Inchef	1550
132	m_be9	1544
133	QuiCreans	1542
134	taengoos	1529
135	Rumpletaezer	1521
136	masskedman	1506
137	_Karmaa	1480
138	dopplexd	1479
139	Huwulling	1476
140	salvinia	1474
141	jnp_gaming	1467
142	ExtraDumb	1460
143	BlancoFlaco	1444
144	TechnoNinja64	1387
145	CattSoup	1385
145	smogfrog	1385
147	Jimi7hits	1383
148	Historical_Sand	1362
149	Njensen7	1356
150	PegLegPete93	1346
151	UltimuShadow	1337
152	abdomera	1333
153	Louiis123	1332
154	420BreadLizard	1321
154	Racengan	1321
156	Meatlaugh	1312
157	U_Mos_	1310
158	Zoeyfortnite	1306
159	Russiancat1	1297
160	SuperPooch06	1279
161	censorsheep	1277
162	The_slideV3	1276
163	Kryktal	1262
164	Teebone15	1240
165	XboxPanda	1234
166	LordAurum	1215
167	eviltunix	1207
