rank	username	minecraft:mined/minecraft:light_gray_stained_glass
1	Winklepicker279	1216
2	mwrty	719
3	noam464	659
4	MilleGrug	614
5	ImpavidArcher	494
6	Mattesco	472
7	Enderxz3	449
8	EngagedGrub41	369
9	eitanzaki	326
10	T045RTY	323
11	Jackattack53	287
12	PlasticOtari	282
13	beeperbeeper5	258
14	Mahoose	255
15	Di_infiri	221
16	Inbefour	208
17	Historical_Sand	202
17	500am	202
19	Marbz_	192
20	thescout7	188
21	Soplight	140
22	Blaiku	126
23	ProfessorBee	100
24	The_SlideV5	96
25	Eraxa	95
26	pintsizedrogue	92
27	TheSecondLord	91
28	EcksD	76
29	ZeroKraken	75
30	Frozil20	74
30	luseis	74
32	Kakolbus	67
33	Groundler	63
34	thewindmillman	58
34	Kowcio_	58
36	PazinGaming	57
37	AdmiralSmoke	54
38	Crowman1	49
39	Quotary	46
40	Arceus1975	44
41	MyNameIsJobo	39
41	Spacewardharpy7	39
43	Blackberry1310	36
44	jnp_gaming	34
45	jacxhadow	33
46	Zoeyfortnite	30
46	h2p_emrld	30
48	IamCL4SSY	28
49	m_be9	27
50	Notta	26
50	RobotMinion101	26
50	lordpipe	26
53	The_slideV3	24
54	Snowflowe	23
55	XxCookiequeenxX	22
56	Rumpletaezer	21
57	joethahobo	19
58	Merv__	18
59	Cowison	17
59	Tyrannosplart	17
59	_Mythic____	17
59	xolstoi	17
63	Da_Boss_Rani	16
64	LeauVox4921	13
65	pappaberg	12
65	Rebytre	12
65	Spenduh	12
65	Hermanni__	12
65	alderban107	12
70	oreee	11
71	YungMaki	10
71	Joshuarumold	10
71	fffMike	10
74	The_Quack_Dealer	9
74	StinkyDiplomat	9
74	Steelynan	9
77	TheShyPig	8
77	Deathkob	8
79	Lez_	7
79	titanlax	7
79	SkateboardR6	7
82	Bandito_Roamer	6
82	MixerDixer	6
82	ROY4LE	6
82	M_Patata	6
82	burbankbuilder28	6
82	Lord_Jord	6
82	UCP_TheKingK	6
89	BlancoFlaco	5
89	NotMeanttoChange	5
89	k1ngGilgamesh	5
89	MasterNueve	5
93	CliffEmAll	4
93	emrekn	4
93	xxPipperDipperxx	4
93	PigDab	4
93	lillips	4
93	Jjackoe	4
93	MakeHistory157	4
93	sp00ky_ghost977	4
93	ZoomieZoomie	4
93	Legendosh	4
103	Mr_Byzantine	3
103	PhantomsGhost_	3
103	AuroraValkyrie	3
103	Incinere	3
103	Tsuki95	3
103	r123moore	3
109	_Virify_	2
109	Badenbeele	2
109	EMC_	2
109	BlackShadow_1007	2
109	Huwulling	2
109	buss081	2
109	rarrq	2
109	Smashic	2
109	fr_ser	2
109	oscminus	2
109	GothicJamm	2
109	FishyBoy3811	2
109	DominusBeryl	2
109	Maenara	2
109	LeonelSalamanca	2
109	Fuad_R	2
109	MAns_44	2
109	RedcatVII	2
109	SammiWolfGirl	2
109	Jimb0nat0r	2
129	NatalieTW	1
129	elicobnoah	1
129	hm947	1
129	bbrothers_5	1
129	Fullut	1
129	_Pins_	1
129	gcaisawesome	1
129	olliebollie48	1
129	mimbo1211	1
129	King_Pancake1	1
129	ItsMrRamen	1
129	Skylord_Luke	1
129	CaptainDeadBread	1
129	yulgur1	1
129	masskedman	1
129	ClimbingGrandad	1
129	claivin	1
129	FreakGenius	1
129	El_Jalapeno	1
129	fluddd	1
129	Hisiste	1
129	Optiprimus	1
129	__tomato	1
129	xzvu	1
129	Xannon232	1
129	MirielThePastor	1
129	TechnoNinja64	1
129	Blueishberry	1
