rank	username	minecraft:mined/minecraft:mossy_stone_brick_wall
1	AdmiralSmoke	82
2	Reamdin	69
3	ECstardust	29
4	Blackberry1310	21
5	500am	12
6	Shogunite	8
7	thescout7	6
7	Winklepicker279	6
9	pintsizedrogue	5
9	Maenara	5
11	Di_infiri	4
11	Kynigito	4
13	TheShyPig	3
13	Kowcio_	3
15	Mahoose	2
15	rarrq	2
15	noam464	2
15	Jackattack53	2
15	thewindmillman	2
20	NatalieTW	1
20	Merv__	1
20	EMC_	1
20	Rich_Kat	1
20	DarkDescent2392	1
20	_Dean_123	1
20	SuperPooch06	1
20	killmeiamtraitor	1
20	Onennon	1
20	DemTechAlpha	1
20	Enderxz3	1
20	Freedrik	1
