rank	username	minecraft:mined/minecraft:acacia_stairs
1	beeperbeeper5	764
2	Meatlaugh	570
3	eitanzaki	474
4	corvidpartyfor6	460
5	KarlKaek	287
6	Smoke____	259
7	YungMaki	242
8	Hoid_the_Roamer	237
9	luseis	213
10	Merv__	207
11	Werbe	186
12	Groovy_MoonBird	176
13	Zaridey	173
14	FreakGenius	166
15	Doom_melon	150
16	ApophisNova	143
16	MyNamaSheff	143
18	Ezekson	136
19	fade_emerge78823	128
20	Soplight	107
21	Winklepicker279	104
22	ImpavidArcher	89
23	Bandito_Roamer	80
23	Franco093	80
25	TheSeismicDuck	69
26	Barlycorn	67
27	Karetoko	60
28	Inbefour	55
29	ConnorDanky_	54
30	2Stout	53
30	binman420	53
32	EveryonesUncle	52
33	xXTheWolfmanXx	48
34	ChillenChiggen	47
35	HellsSponge	43
36	thgrocks	42
37	Steelynan	41
38	JasmineGK	40
39	Zedducius	39
40	jewbacaman	36
41	Lez_	34
42	kekhon	33
43	xX_Stalin69_Xx	32
44	TheShyPig	30
45	Notta	29
45	mariominejedi	29
47	_Huge_Male_	28
47	LeauVox4921	28
49	ProfessorBee	27
49	AnnieBathory	27
51	smogfrog	26
52	MineMaster0012	25
53	Chuvacevedo	24
54	AgressiveEggdog	23
54	TechnoNinja64	23
56	xxPipperDipperxx	22
57	himak1	21
58	pintsizedrogue	20
58	Snowflowe	20
58	KlausVonStiglitz	20
61	Ecplosive	19
61	ProfessorDiaper	19
63	youhjjhhhjj	18
63	xzvu	18
65	TheSecondLord	17
65	thewindmillman	17
65	mawileite	17
68	Frozil20	16
69	BlueZabu	15
69	Jackattack53	15
69	h2p_emrld	15
72	Arceus1975	14
73	Ilinca_Io	13
73	Blackberry1310	13
75	Swalt	12
75	AJplaysMC_	12
77	MyNameIsDakar	11
77	MakeHistory157	11
77	PortlyPete69	11
77	561cool	11
81	Mahoose	10
81	wrinkledpiglet	10
81	PlasticOtari	10
84	EMC_	9
84	Hpdinosaur	9
84	560cool	9
87	500am	8
87	ChocolatePepsi	8
87	ReflexCode	8
87	El_Jalapeno	8
91	Myrosia	7
91	peach0s	7
91	RoofTyler	7
91	starbits140	7
91	tsitrawhy	7
91	stellarjay	7
91	SammiWolfGirl	7
91	Enderxz3	7
91	momis24	7
91	xolstoi	7
101	_Karmaa	6
101	SvenskaHugo	6
101	bitsplease	6
104	Mr_Byzantine	5
104	dopplexd	5
104	TJawesome09	5
104	UCP_TheKingK	5
108	Apollo_993	4
108	Inchef	4
108	ZA07	4
108	Racengan	4
112	funeralhome	3
112	NatalieTW	3
112	Fullut	3
112	TylerDupree	3
112	MeanTugger	3
112	XxCookiequeenxX	3
112	_Bguette_	3
112	sp00ky_ghost977	3
112	Chayula	3
112	Ryn777	3
112	DennyKai	3
123	PhantomsGhost_	2
123	SmashingPump	2
123	SaucyDark	2
123	jushykins	2
123	bloodbiter	2
123	CrookedKaptain	2
123	prizm_	2
123	Marbz_	2
123	MyNameIsJobo	2
123	fw3xywashere	2
123	FlashMigma	2
123	Soffbord	2
135	dimondking777	1
135	Fractured_	1
135	stevewithclout	1
135	joethahobo	1
135	Ozixar	1
135	rpmm	1
135	Secret_Canary	1
135	Masssonnn	1
135	lorpus	1
135	gcaisawesome	1
135	noam464	1
135	lizardfightclub	1
135	eSpawNa	1
135	duqboy	1
135	twinkel_star24	1
135	fkGrim	1
135	KermitTheKripple	1
135	DarlaMeow	1
135	censorsheep	1
135	MightyWertu	1
135	Blaiku	1
135	MS_Pryxx	1
135	IAmTheWalrus910	1
135	ItsDeltaMC	1
135	__tomato	1
135	lcvezra	1
135	Legendosh	1
135	Sral7	1
135	bladeefan2009	1
