rank	username	minecraft:mined/minecraft:potted_red_mushroom
1	Mattesco	32
2	Mahoose	5
2	beeperbeeper5	5
4	UncreativeArtist	4
4	Krowuss	4
4	Eraxa	4
7	noam464	3
7	Jackattack53	3
7	FreakGenius	3
10	eitanzaki	2
10	Reamdin	2
10	joethahobo	2
10	_witch_craft_	2
10	HellsSponge	2
10	wwwwinnebagoooo	2
10	Druid95	2
10	PlasticOtari	2
18	k_ce	1
18	Bandito_Roamer	1
18	Frozil20	1
18	KarlKaek	1
18	Ryan_GEMS	1
18	ImpavidArcher	1
18	NoHaHeHa	1
18	Alteriity	1
18	TheSecondLord	1
18	_Nat666	1
18	m_be9	1
18	_Dean_123	1
18	Smashic	1
18	thescout7	1
18	benediktine1	1
18	Di_infiri	1
18	Rumpletaezer	1
18	corpsecity	1
18	Hoid_the_Roamer	1
18	BRRRN179	1
18	TheShyPig	1
18	PaperCanvas	1
18	mushroomgirl101	1
18	TheSeismicDuck	1
18	audiocracked	1
18	Jiminbub	1
18	luseis	1
18	sufjanlover	1
18	KlausVonStiglitz	1
18	ycnicholas	1
18	Dakar_	1
18	DarlaMeow	1
18	DanTheBuilderino	1
18	El_Jalapeno	1
18	Gus2005	1
18	Spacewardharpy7	1
18	Optiprimus	1
18	StarCookiees_	1
18	07shiny	1
18	IdeallyGrey	1
18	Segotep999	1
18	__tomato	1
18	CalebDHawk	1
18	Steelynan	1
18	Apicomplexa	1
18	Ezekson	1
18	Powowowow	1
18	vandmanden	1
18	FishisTTV	1
18	diggydog67	1
