rank	username	minecraft:mined/minecraft:crimson_roots
1	RebelAndroid	1426
2	k_ce	1374
3	Lutres_	877
4	Lord_Jord	832
5	gcaisawesome	778
6	shadowthemonkey	697
7	Jimb0nat0r	639
8	Snowflowe	591
9	thewindmillman	376
10	Skylord_Luke	368
11	pintsizedrogue	360
12	lordpipe	336
13	_witch_craft_	252
13	Kakolbus	252
15	doublemaki	244
16	Enderxz3	238
17	pixelviolin	219
18	12Magner05	203
19	RoskobiOne	199
20	BobDeBouwer1337	190
21	Yamdalorian	186
22	Mr_Byzantine	181
23	beeperbeeper5	172
24	DarlaMeow	167
25	diggydog67	157
26	catandmoose	143
27	Nicserso	141
28	CliffEmAll	140
29	Buuck_	138
30	Fullut	125
31	ConnorDanky_	109
32	PazinGaming	102
33	Huwulling	95
34	500am	82
35	MyMawgDonaldsGon	81
36	Kowcio_	79
37	Legendosh	78
38	Kubelz	75
39	QuiCreans	71
40	djancak	69
41	MightyWertu	68
42	Cowison	67
43	Merv__	66
44	gustarlep	64
45	Soplight	63
46	HellsSponge	62
47	PlasticOtari	61
48	Blackberry1310	58
49	Segotep999	57
50	joethahobo	55
51	noam464	54
52	Awyrlas	51
53	Arceus1975	48
54	lizardfightclub	46
55	TheSecondLord	44
56	steppe_nomad	43
56	jacxhadow	43
56	Marbz_	43
59	Deathkob	41
59	MAns_44	41
61	Manaateee	40
62	BlancoFlaco	39
62	tuckerdoodle	39
62	Jackattack53	39
62	SammiWolfGirl	39
66	soundad	38
67	Lez_	37
68	Historical_Sand	36
69	_Dean_123	32
69	Hyp3rion_	32
71	FishisTTV	31
72	Inchef	29
72	Chromary	29
74	Spacewardharpy7	27
75	Alteriity	26
75	TheEnderMan548	26
77	NatalieTW	24
78	FreakGenius	23
79	taengoos	22
80	diamondgolem35	20
80	hm947	20
80	CoffeeNoir	20
80	Crowman1	20
84	MSK__	19
84	Paul_Katan	19
84	Vegvisir	19
84	Kubeusz2010	19
88	olliebollie48	18
89	AuroraValkyrie	17
89	r123moore	17
91	Rebytre	16
91	cichy096	16
91	jnp_gaming	16
94	T045RTY	15
94	luseis	15
96	Ryan_GEMS	14
96	RatatJuice	14
96	Tersea_	14
96	U_Mos_	14
96	Dakar_	14
96	Ezekson	14
102	breadbowlgamer	13
102	Winklepicker279	13
102	Elastiq	13
102	SkateboardR6	13
102	MilleGrug	13
107	SpartanNamor	12
107	EveryonesUncle	12
107	DemTechAlpha	12
107	IdeallyGrey	12
107	brofrickcheaters	12
112	Lorcout	11
112	Mahoose	11
112	ShedJr_	11
112	kekhon	11
112	AstreaTSS	11
112	weabis	11
112	hermmm_	11
119	TheDankPlatypus	10
119	zToasty69z	10
119	TheWickedBird	10
122	PhantomsGhost_	9
122	eitanzaki	9
122	crying_wolf_13	9
122	hanaryheatwave	9
122	Moofyman	9
122	KeruNatsema	9
122	DanTheBuilderino	9
122	Skippeh	9
130	set67	8
130	gamerlord1324	8
130	King_Pancake1	8
130	Jekyll	8
130	Gryglu583	8
130	GravitySaint	8
130	wwwwinnebagoooo	8
130	monky_irl	8
130	UltraZombie	8
139	rarrq	7
139	excelsionprime	7
139	lpinfinity	7
139	thescout7	7
139	lorpus	7
139	PigDab	7
139	Eon_57	7
139	Colmer94	7
139	Steelynan	7
139	mobunni	7
139	EcksD	7
139	RadarHz	7
151	Swexti	6
151	MinttyFressh	6
151	SingedBread	6
151	MS_Pryxx	6
151	sp00ky_ghost977	6
151	Vetomo8000	6
151	fffMike	6
158	H0UNDFRMH3LL	5
158	ECstardust	5
158	shineh10	5
158	I_Am_Mushkin	5
158	bloodbiter	5
158	philandr	5
158	mwrty	5
158	xxPipperDipperxx	5
158	trixterrx	5
158	SuperPooch06	5
158	oscminus	5
158	ApophisNova	5
158	PaperCanvas	5
158	HolyVenom	5
158	Hahaa_0	5
158	501g	5
158	SpacesickPrism	5
158	DairyNickel756	5
158	MyNamaSheff	5
158	BiggieDawg	5
158	trexgb	5
158	00000000-0000-0000-0009-01ff0c3e5e4f	5
180	eclipseboi	4
180	Master_Kol	4
180	paranoid_plant	4
180	CarltheCuck	4
180	whoaluv	4
180	Krowuss	4
180	Galactic_Badger	4
180	Werbe	4
180	TheShyPig	4
180	IvarEXE	4
180	Eraxa	4
180	07shiny	4
180	Luigipunch989	4
180	PortlyPete69	4
180	CalebDHawk	4
180	Winston_Ingram	4
180	Eczbek	4
197	_Virify_	3
197	fanofbands101	3
