rank	username	minecraft:mined/minecraft:pitcher_crop
1	pintsizedrogue	736
2	Enderxz3	354
3	MAns_44	172
4	TheSecondLord	59
5	oscminus	57
6	EveryonesUncle	19
7	Kowcio_	18
8	Lez_	17
9	j5ylim	11
10	Buuck_	9
11	craaaash	8
12	k_ce	5
12	Merv__	5
14	beeperbeeper5	4
14	XxCookiequeenxX	4
14	robonya_	4
14	Steelynan	4
14	Jimb0nat0r	4
19	eitanzaki	3
19	Secret_Canary	3
19	Krowuss	3
19	Pumpkin_P_Patch	3
19	LuvLuvLove	3
24	Alteriity	2
24	Fullut	2
24	Smashic	2
27	Mr_Byzantine	1
27	CLG_Kata	1
27	_Huge_Male_	1
27	ECstardust	1
27	mymayowasgone	1
27	lorywithay	1
27	ZaneABrain	1
27	royal_2	1
27	Jackattack53	1
27	luseis	1
27	lunkuku	1
27	Ezekson	1
27	Yamdalorian	1
