rank	username	minecraft:mined/minecraft:tube_coral
1	Enderxz3	867
2	thewindmillman	279
3	Kouridragon	125
4	Di_infiri	116
5	Jackattack53	98
6	Legendosh	90
7	12Magner05	66
8	500am	41
9	ImpavidArcher	40
9	skroobiez	40
11	j5ylim	39
11	beeperbeeper5	39
13	TheShyPig	35
14	pintsizedrogue	34
15	_Dean_123	31
16	Merv__	29
17	kekhon	28
17	doublemaki	28
19	Fullut	25
20	Mahoose	23
20	Hyp3rion_	23
22	livingdaydreams	22
23	Blackberry1310	20
23	lordpipe	20
25	Alteriity	18
26	MattieHD	16
27	Kakolbus	15
28	RoskobiOne	14
28	Xalithia	14
28	Vetral1	14
28	luseis	14
32	Lez_	13
32	Onennon	13
34	PazinGaming	12
34	Inbefour	12
34	Nicserso	12
37	eitanzaki	10
37	Quaintster	10
37	mihimihimihi	10
40	ApophisNova	9
40	Blu3beast	9
40	11Brewer	9
40	MyNamaSheff	9
40	Jimb0nat0r	9
45	SaucyDark	8
45	__tomato	8
47	craaaash	7
47	Kura2218	7
47	Kowcio_	7
47	TheWickedBird	7
51	TheSecondLord	6
51	noam464	6
51	Marbz_	6
51	XxCookiequeenxX	6
51	Deathkob	6
51	_Karmaa	6
51	Pumpkin_P_Patch	6
51	miramyu	6
51	Steelynan	6
60	AuroraValkyrie	5
60	eclipseboi	5
60	eiC_	5
60	Rumpletaezer	5
60	burbankbuilder28	5
60	RobotMinion101	5
60	groofles	5
60	KlausVonStiglitz	5
60	Tyrannosplart	5
60	Manaateee	5
60	PortlyPete69	5
60	diggydog67	5
72	Jovaphobic	4
72	MyMawgDonaldsGon	4
72	Iagoku	4
72	joethahobo	4
72	_witch_craft_	4
72	surfinggiraffejp	4
72	milltesco	4
72	Mattesco	4
72	AlexxO_o	4
72	TheSeismicDuck	4
72	Jiminbub	4
72	HellsSponge	4
72	Xclax101	4
72	Blaiku	4
72	Druid95	4
72	pixelviolin	4
72	djancak	4
72	_3Stump_	4
72	Ezekson	4
72	FishisTTV	4
72	h2p_emrld	4
93	Bandito_Roamer	3
93	ShedJr_	3
93	Archsam	3
93	Historical_Sand	3
93	Ssor69	3
93	titanlax	3
93	_Nat666	3
93	Inchef	3
93	Mewar	3
93	r123moore	3
93	SuperPooch06	3
93	Rebytre	3
93	Hiryu27	3
93	Maenara	3
93	Karbl	3
93	Typadopoulos	3
93	WyngGoy	3
93	Luigipunch989	3
93	erkada	3
93	EcksD	3
93	TechnoNinja64	3
93	PlasticOtari	3
93	Sral7	3
93	Biites	3
117	dudcreeper	2
117	ECstardust	2
117	Caribouse	2
117	CoffeeNoir	2
117	IWorkAtIkea	2
117	lpinfinity	2
117	Covalents	2
117	Noah_Bez	2
117	benediktine1	2
117	arcanemagic	2
117	TheDankPlatypus	2
117	NotoriousNina	2
117	hanaryheatwave	2
117	Arceus1975	2
117	The11thDoctor	2
117	HolyVenom	2
117	audiocracked	2
117	censorsheep	2
117	Gus2005	2
117	DarkLawD	2
117	iSammael	2
117	MakeHistory157	2
117	Soplight	2
117	_i_ERROR_i_	2
117	KingMatthew506	2
117	Apicomplexa	2
117	TwinTowerV2	2
117	Wanjibon	2
145	H0UNDFRMH3LL	1
145	dimondking777	1
145	robertsnose	1
145	6king6colt6	1
145	Paleshield	1
145	ActualPatbaf	1
145	Prismyst	1
145	urbeans	1
145	Stynxy	1
145	Ozixar	1
145	ratglock	1
145	bloodbiter	1
145	poopybh	1
145	Pelbo	1
145	crying_wolf_13	1
145	CrookedKaptain	1
145	emrekn	1
145	gamerlord1324	1
145	mimbo1211	1
145	M_Patata	1
145	RocketRidge	1
145	legal_tax_evader	1
145	MyNameIsJobo	1
145	Chromary	1
145	Krowuss	1
145	Azmodan_246	1
145	Bumpy419	1
145	Voxin2K	1
145	ItsAki_	1
145	F_Uhre	1
145	aec9	1
145	Jimi7hits	1
145	Akoot_	1
145	fw3xy	1
145	EveryonesUncle	1
145	fkGrim	1
145	balin55	1
145	1442	1
145	The_slideV3	1
145	NameGenerat0r	1
145	FreakGenius	1
145	QueenShuvi	1
145	El_Jalapeno	1
145	cytotoxaint	1
145	Hisiste	1
145	Spacewardharpy7	1
145	MasterNueve	1
145	csendeslol	1
145	ZoharGoldMine	1
145	IdeallyGrey	1
145	Spenduh	1
145	stellarjay	1
145	SammiWolfGirl	1
145	SpacesickPrism	1
145	Western_1	1
145	robonya_	1
145	fffMike	1
145	Njensen7	1
145	ZeroKraken	1
145	Skippeh	1
145	OfficerAnvil	1
145	Powowowow	1
145	Yamdalorian	1
