rank	username	minecraft:mined/minecraft:potted_bamboo
1	Blackberry1310	15
2	PlasticOtari	11
3	SaucyDark	6
3	kekhon	6
3	Steelynan	6
3	Nicserso	6
7	pintsizedrogue	5
7	FreakGenius	5
9	EMC_	4
9	RatatJuice	4
9	jimintyy	4
9	Mahoose	4
9	Ssor69	4
9	NieToksikpl	4
9	eclipseboi	4
9	Ecplosive	4
9	SuperPooch06	4
9	Chromary	4
19	Cryptacity	3
19	mwrty	3
19	fkGrim	3
19	Soplight	3
19	UltraZombie	3
19	TechnoNinja64	3
19	Biites	3
26	Swexti	2
26	lunathelemon	2
26	MattieHD	2
26	500am	2
26	Kamflame10	2
26	Cambo5000	2
26	Inchef	2
26	Di_infiri	2
26	Rebytre	2
26	TheShyPig	2
26	Kim_Jong_eel	2
26	Blu3beast	2
26	MakeHistory157	2
26	Skippeh	2
26	Enderxz3	2
26	xolstoi	2
42	Deu_Stew	1
42	Huwulling	1
42	jessewegottacook	1
42	Pofen	1
42	titanlax	1
42	2Stout	1
42	xxPipperDipperxx	1
42	shadowthemonkey	1
42	Marbz_	1
42	Rumpletaezer	1
42	ApophisNova	1
42	RobotMinion101	1
42	Maenara	1
42	luseis	1
42	Druid95	1
42	Eraxa	1
42	Kowcio_	1
42	MyNamaSheff	1
