rank	username	minecraft:mined/minecraft:cactus
1	joethahobo	596
2	HellsSponge	376
3	m_be9	353
4	Skippeh	267
5	TheShyPig	197
6	CoffeeNoir	195
7	FreakGenius	187
7	Sral7	187
9	QuiCreans	178
9	El_Jalapeno	178
11	MovingFish7	159
12	Blackberry1310	147
13	sp00ky_ghost977	139
14	Hyp3rion_	128
15	SammiWolfGirl	125
16	Ezekson	124
17	__tomato	122
18	Rumpletaezer	118
19	pintsizedrogue	116
19	Lez_	116
21	noam464	110
21	Njensen7	110
23	DarlaMeow	104
23	Kowcio_	104
25	eviltunix	93
26	Iagoku	88
26	Euclidoris	88
26	Spacewardharpy7	88
29	kekhon	85
29	Xclax101	85
31	RatatJuice	84
32	Saucepeh	83
33	titanlax	81
33	_Dean_123	81
35	Wooptey	78
35	Arceus1975	78
37	Crowman1	75
38	MousePlays	72
38	YungMaki	72
40	AlphaWolfPlaysMC	65
41	Mahoose	64
41	ProfessorBee	64
43	RoskobiOne	63
43	Di_infiri	63
43	Legendosh	63
46	SuperPooch06	61
47	Skylord_Luke	60
48	ImpavidArcher	59
48	Inbefour	59
50	luseis	58
51	SkateboardR6	56
51	Jimb0nat0r	56
53	Merv__	53
53	Fullut	53
55	jacxhadow	52
55	TheDankPlatypus	52
55	Werbe	52
55	epiksk8erduck	52
55	Hermanni__	52
55	Powowowow	52
61	Steelynan	50
62	corvidpartyfor6	47
62	MineMaster0012	47
64	Ssor69	46
64	TheSecondLord	46
64	Fuhrer_Teemo	46
64	alderban107	46
68	q_wq	45
68	Snowflowe	45
68	Inconvenionce	45
68	Syropatathe	45
68	AdmiralSmoke	45
73	Zythose	44
73	TechnoNinja64	44
75	AuroraValkyrie	43
75	dopplexd	43
75	monolu	43
78	Groovy_MoonBird	42
78	Akoot_	42
78	StinkyDiplomat	42
78	THEKINGLyric10	42
78	WyngGoy	42
78	Enderxz3	42
84	EMC_	41
84	Frozil20	41
84	SaucyDark	41
84	MustardSquid	41
88	teslawolf38	40
88	thewindmillman	40
90	masskedman	39
90	Soplight	39
92	beeperbeeper5	38
92	Nicserso	38
94	MrExplorer	37
94	RefluxRatio	37
94	Airem_Core	37
94	TheEnderMan548	37
98	Bumpy419	36
98	NameGenerat0r	36
98	Blaiku	36
101	Ryan_GEMS	35
101	HollieDaNugget	35
101	Jackattack53	35
101	oscminus	35
101	claivin	35
106	Sleek_Storm_721	34
106	500am	34
106	Scathra	34
106	Zaridey	34
106	Quaintster	34
106	fffMike	34
112	Zoeyfortnite	33
112	00000000-0000-0000-0009-01ff0c3e5e4f	33
114	xXTheWolfmanXx	32
114	MyNameIsJobo	32
114	diggydog67	32
117	Killercatty78	31
117	F_Uhre	31
117	natajimi	31
117	rotten_mango	31
117	Druid95	31
122	T045RTY	30
122	KingEgg1	30
122	Kim_Jong_eel	30
122	Jiminbub	30
122	SolicitedPuma101	30
122	ItsDeltaMC	30
122	yatsuta	30
122	ZeroKraken	30
130	KingFaenor	29
130	Touched_Bread	29
130	lillips	29
133	Koffeeinz	28
133	Notta	28
133	prizm_	28
133	SingedBread	28
133	Hisiste	28
138	firesgal3116	27
138	SteveCraftBlocks	27
138	Krowuss	27
138	Onennon	27
138	PaperCanvas	27
138	xze1	27
138	PortlyPete69	27
145	Xalithia	26
146	set67	25
146	wezzzi	25
146	_Bguette_	25
146	Spenduh	25
150	123louis456	24
150	IWorkAtIkea	24
150	Deathkob	24
153	bloodbiter	23
153	thgrocks	23
153	SpouHn	23
153	Steve897	23
153	halfbakedlasagna	23
153	PlasticOtari	23
159	H72l9w	22
159	UncleDanDan	22
159	Kakolbus	22
159	The11thDoctor	22
159	groofles	22
159	Fakiuss	22
165	fanofbands101	21
165	Badenbeele	21
165	CarltheCuck	21
165	MightyWertu	21
165	underscore_2	21
165	KingMatthew506	21
171	SyntheticSurgeon	20
171	MoistMicrowave	20
171	Nicky_H225	20
171	Inchef	20
171	bloomkieren	20
176	lorywithay	19
176	thescout7	19
176	TheALV	19
179	rachcl	18
179	PegLegPete93	18
179	Orcus113	18
179	ConnorDanky_	18
179	vandmanden	18
184	cheerytomato	17
184	Chromary	17
184	Avocadogerms	17
184	ReflexCode	17
184	MakeHistory157	17
189	Cryptacity	16
189	Resner	16
189	Kubelz	16
189	PigDab	16
189	Nycteus_	16
189	Moetis	16
189	Dreamdbr14	16
196	NatalieTW	15
196	eitanzaki	15
196	youhjjhhhjj	15
196	DTwenty	15
196	Tyrannosplart	15
196	Optiprimus	15
196	Segotep999	15
196	Celeste_121	15
204	DSYisDizzy	14
204	mariominejedi	14
204	yaboo88	14
204	Reneedium	14
204	pappaberg	14
204	Maenara	14
204	Joestra	14
