rank	username	minecraft:mined/minecraft:polished_granite_stairs
1	Meatlaugh	347
2	beeperbeeper5	266
3	Smoke____	234
4	Mr_Byzantine	169
5	Hoid_the_Roamer	164
6	m_be9	162
7	pappaberg	142
8	ProfessorDiaper	124
9	Winklepicker279	110
10	Lord_Jord	102
11	Doom_melon	91
12	CalebDHawk	85
13	Stiar	83
14	stellarjay	73
14	Ezekson	73
16	BobDeBouwer1337	65
17	seramalen	60
18	kekhon	54
19	Deerfoot	53
20	AlphaWolfPlaysMC	48
21	joethahobo	47
21	Maenara	47
23	r123moore	45
24	Soplight	43
25	Legendosh	36
26	Onennon	35
27	KarlKaek	34
28	luseis	32
29	Steelynan	28
30	Kakolbus	26
30	Rasmanden	26
32	ImpavidArcher	23
33	Frozil20	22
33	Touched_Bread	22
33	91stCataclysm	22
36	starbits140	20
37	Snowflowe	18
38	paranoid_plant	17
38	TheShyPig	17
38	Fuhrer_Teemo	17
41	ROY4LE	16
41	_Karmaa	16
43	Kowcio_	15
44	bearlystraight	14
44	weabis	14
44	YungMaki	14
47	Merv__	13
48	Enderxz3	10
49	TechnoNinja64	9
50	Inbefour	8
51	Mahoose	7
51	bloodbiter	7
51	aec9	7
51	Akoot_	7
51	fkGrim	7
51	07shiny	7
57	Werbe	6
58	thescout7	5
58	MyNameIsJobo	5
58	groofles	5
61	SyK7	4
61	rarrq	4
61	Cryptacity	4
61	Zorin_Blitz	4
61	NomadicRobin_	4
61	DarlaMeow	4
67	Lukeee33	3
67	Hpdinosaur	3
67	titanlax	3
67	ThePoliteG	3
67	Kkanot	3
67	out1s	3
67	fkndweeb	3
67	SingedBread	3
67	Skippeh	3
67	vandmanden	3
67	xolstoi	3
78	ThiccExotic	2
78	mwrty	2
78	CuzIm2Kev	2
78	godipose	2
78	Blaiku	2
78	monky_irl	2
84	pintsizedrogue	1
84	TildaAndrea	1
84	Sabby65	1
84	Tolhart	1
84	TheThomas69	1
84	NoraTheYandere	1
84	LeauVox4921	1
84	Corbsman	1
84	bpmm	1
84	Racengan	1
84	WyngGoy	1
84	Conrad139	1
84	pixelviolin	1
84	djancak	1
