rank	username	minecraft:mined/minecraft:potted_crimson_fungus
1	Kubelz	4
2	Dusk_95	2
2	ZoomieZoomie	2
2	Legendosh	2
5	nattybears	1
5	Prismyst	1
5	bloodbiter	1
5	eclipseboi	1
5	Fullut	1
5	luseis	1
5	Enderxz3	1
