rank	username	minecraft:mined/minecraft:lime_carpet
1	Spacewardharpy7	132
2	_Virify_	127
3	Xclax101	123
4	500am	111
5	noam464	99
6	eitanzaki	95
7	joethahobo	85
8	Legendosh	67
9	Inbefour	65
10	Quotary	63
11	beeperbeeper5	56
12	FishyBoy3811	42
12	Warlord324	42
12	ZeroKraken	42
15	HellsSponge	40
15	stavgod	40
17	TheShyPig	34
18	jnp_gaming	27
19	Racengan	26
20	Mahoose	25
20	KingMatthew506	25
20	Ezekson	25
23	heckface	20
23	LexMakesHistory	20
23	Smoke____	20
26	Werbe	18
27	kekhon	16
27	Njensen7	16
29	RoskobiOne	14
30	_Dean_123	12
30	HolyVenom	12
30	YungMaki	12
33	xxPipperDipperxx	11
33	Kferno	11
35	RebelAndroid	9
36	EcksDofficial	8
37	CoffeeNoir	7
37	Fullut	7
37	GhostRecon8014	7
40	HollieDaNugget	6
40	Eraxa	6
42	mwrty	5
42	Freak_Genius	5
44	Di_infiri	4
44	NomadicRobin_	4
44	The_slideV3	4
44	lordpipe	4
48	Swexti	3
48	Blackberry1310	3
48	BumbleBeever	3
48	WyngGoy	3
48	Kyrum2169	3
48	TechnoNinja64	3
54	Natty	2
54	Howertt	2
54	SteveCraftBlocks	2
54	Rumpletaezer	2
54	PigDab	2
54	Akoot_	2
54	Enderslayerxz3	2
61	PhantomsGhost_	1
61	Ailmast	1
61	teslawolf38	1
61	Sleek_Storm_721	1
61	I_Am_Mushkin	1
61	SaucyDark	1
61	TheSecondLord	1
61	pr33tu	1
61	mimbo1211	1
61	LAVA129	1
61	RobotMinion101	1
61	CJPerson	1
61	420BreadLizard	1
61	natajimi	1
61	GravitySaint	1
61	Blaiku	1
61	lcvezra	1
61	Skippeh	1
61	Miko_Fullbuster	1
61	oxfordschool	1
61	Nicserso	1
