rank	username	minecraft:mined/minecraft:cherry_fence_gate
1	Lez_	48
2	Enderxz3	21
3	Kowcio_	18
4	royal_2	4
4	11Brewer	4
6	cutelilreno	3
6	KamFurnace	3
8	Alex_Hansen	2
8	IlkeCookes_	2
10	knarian	1
10	DisgruntledKoala	1
10	Rebytre	1
