rank	username	minecraft:mined/minecraft:fire_coral_fan
1	thewindmillman	287
2	Kouridragon	137
3	Di_infiri	123
4	Jackattack53	93
5	Legendosh	82
6	12Magner05	51
7	ImpavidArcher	44
8	TheShyPig	34
9	500am	31
10	Enderxz3	26
11	pintsizedrogue	25
12	Hyp3rion_	23
13	beeperbeeper5	17
14	EcksD	16
15	Mahoose	15
15	_Dean_123	15
17	lordpipe	14
18	AuroraValkyrie	13
19	RoskobiOne	12
19	kekhon	12
19	Fullut	12
19	YungMaki	12
23	eitanzaki	11
23	Onennon	11
23	Vetral1	11
23	Inbefour	11
27	SaucyDark	10
28	Merv__	9
28	livingdaydreams	9
28	ApophisNova	9
28	luseis	9
28	Quaintster	9
28	MyNamaSheff	9
34	groofles	8
34	HellsSponge	8
34	Kura2218	8
34	fffMike	8
38	eiC_	7
38	MyNameIsJobo	7
38	Arceus1975	7
38	IdeallyGrey	7
42	Blackberry1310	6
42	TheSecondLord	6
42	Mewar	6
42	SuperPooch06	6
42	burbankbuilder28	6
42	KingMatthew506	6
48	Ssor69	5
48	Xalithia	5
48	noam464	5
48	XxCookiequeenxX	5
48	mihimihimihi	5
48	lcvezra	5
48	diggydog67	5
55	Jovaphobic	4
55	T045RTY	4
55	surfinggiraffejp	4
55	Kakolbus	4
55	fr_ser	4
55	Maenara	4
55	Tyrannosplart	4
55	FreakGenius	4
55	Xclax101	4
55	Steelynan	4
65	Huwulling	3
65	Inchef	3
65	Rumpletaezer	3
65	Kynigito	3
65	_Cloverbelle_	3
65	TheSeismicDuck	3
65	claivin	3
65	Blu3beast	3
65	cytotoxaint	3
65	Dusk_95	3
65	iSammael	3
65	Kowcio_	3
65	__tomato	3
65	stellarjay	3
65	Luigipunch989	3
65	GlitchyPlate810	3
65	TechnoNinja64	3
65	PlasticOtari	3
65	Smoke____	3
84	Groovy_MoonBird	2
84	Bandito_Roamer	2
84	dimondking777	2
84	Lez_	2
84	urbeans	2
84	titanlax	2
84	ratglock	2
84	r123moore	2
84	Donutt	2
84	Bumpy419	2
84	Rebytre	2
84	ZA07	2
84	Jimi7hits	2
84	Akoot_	2
84	ChrisKyleST3	2
84	xDraggin	2
84	binman420	2
84	Jiminbub	2
84	Deathkob	2
84	YungWali	2
84	1442	2
84	El_Jalapeno	2
84	Blaiku	2
84	Factoroni	2
84	WyngGoy	2
84	SexcMf	2
84	Fizznut909	2
84	SpacesickPrism	2
84	HesDemonPants	2
84	Sral7	2
114	H0UNDFRMH3LL	1
114	abramgray	1
114	SmashingPump	1
114	6king6colt6	1
114	diamondgolem35	1
114	bigstankyy	1
114	Iagoku	1
114	TooManyDuck	1
114	Paleshield	1
114	tuckerdoodle	1
114	Prismyst	1
114	H72l9w	1
114	Historical_Sand	1
114	chlorinex	1
114	Stynxy	1
114	shyshyannne	1
114	CrookedKaptain	1
114	thescout7	1
114	SharpDev	1
114	xxPipperDipperxx	1
114	hcb238	1
114	Covalents	1
114	TheDankPlatypus	1
114	NotoriousNina	1
114	CollinMH06	1
114	Marbz_	1
114	legal_tax_evader	1
114	hanaryheatwave	1
114	domagawha	1
114	Hiryu27	1
114	RobotMinion101	1
114	Moofyman	1
114	AlexxO_o	1
114	KeruNatsema	1
114	fw3xywashere	1
114	_Bguette_	1
114	The_Quack_Dealer	1
114	Karbl	1
114	RoofTyler	1
114	censorsheep	1
114	Typadopoulos	1
114	SkateboardR6	1
114	Spacewardharpy7	1
114	ZoharGoldMine	1
114	Eraxa	1
114	bloomkieren	1
114	RealGroot	1
114	djancak	1
114	Soplight	1
114	SammiWolfGirl	1
114	PortlyPete69	1
114	Dogcorn69420	1
114	ZeroKraken	1
114	Nicserso	1
114	Powowowow	1
114	Biites	1
114	FishisTTV	1
