rank	username	minecraft:mined/minecraft:fire_coral_block
1	Legendosh	2298
2	Onennon	1930
3	TheShyPig	628
4	ImpavidArcher	584
5	HellsSponge	337
6	pintsizedrogue	332
7	_Dean_123	312
8	h2p_emrld	280
9	Hyp3rion_	251
10	YungMaki	247
11	Enderslayerxz3	234
12	500am	211
12	Di_infiri	211
14	EcksD	201
15	Kouridragon	199
16	Nagasaki_Riku	166
17	Merv__	137
18	Jovaphobic	132
19	Vetral1	128
20	SpookyDraggin	95
21	Mewar	92
22	Fullut	91
23	Marbz_	89
24	MyNameIsJobo	87
24	Deathkob	87
26	AuroraValkyrie	86
26	Inbefour	86
28	ApophisNova	83
28	MyNamaSheff	83
30	lordpipe	76
31	Xalithia	75
32	burbankbuilder28	74
33	Ssor69	71
34	thewindmillman	68
35	livingdaydreams	67
36	emrekn	63
37	__tomato	56
38	Maenara	49
39	TheSeismicDuck	48
40	12Magner05	47
41	eiC_	44
42	djancak	43
43	Noah_Bez	40
44	Kakolbus	38
45	r123moore	37
46	NameGenerat0r	35
46	censorsheep	35
48	Eraxa	33
49	Jackattack53	32
49	laron58	32
51	Inchef	31
51	Karbl	31
53	1442	30
54	Iagoku	29
55	ShedJr_	28
55	aec9	28
57	urbeans	27
57	PlasticOtari	27
59	Groovy_MoonBird	26
59	Rumpletaezer	26
61	PortlyPete69	25
62	diamondgolem35	24
62	Dusk_95	24
64	Rebytre	23
65	fred870d	22
66	kekhon	21
67	Sral7	20
68	TheDankPlatypus	19
68	KingMatthew506	19
68	Smoke____	19
71	Spenduh	18
72	Bandito_Roamer	17
72	SaucyDark	17
72	Voxin2K	17
75	hollowww	16
75	joethahobo	16
75	Typadopoulos	16
78	Blaiku	15
79	surfinggiraffejp	14
79	Freak_Genius	14
81	_Karmaa	13
82	dudcreeper	12
82	Fizznut909	12
82	jcool7	12
85	Akoot_	11
85	Skippeh	11
85	jnp_gaming	11
88	Arceus1975	10
88	_Bguette_	10
90	Historical_Sand	9
90	shyshyannne	9
90	NotoriousNina	9
90	CollinMH06	9
90	claivin	9
90	oxfordschool	9
90	Powowowow	9
97	eitanzaki	8
97	Eerini	8
99	hm947	7
99	RobotMinion101	7
101	El_Jalapeno	6
101	DarkLawD	6
101	lcvezra	6
101	diggydog67	6
105	KarlKaek	5
105	Mahoose	5
105	SuperPooch06	5
105	The11thDoctor	5
105	Wolverine4302	5
105	EcksDofficial	5
111	abramgray	4
111	BodaciousCake	4
111	Stynxy	4
111	kars0n	4
111	Skylord_Luke	4
111	LordSpeed37	4
111	sebastiensaborio	4
111	erkada	4
111	BreadBacon	4
120	InfernalMound	3
120	M_Patata	3
120	chipklip	3
120	GravitySaint	3
120	MasterNueve	3
120	IAmTheWalrus910	3
120	YoshikageBites	3
127	T045RTY	2
127	fr_ser	2
127	Studyhallsaver	2
127	Sky_light_KING	2
127	fkGrim	2
127	Jiminie	2
127	Blu3beast	2
127	cytotoxaint	2
127	monky_irl	2
127	BlankityMcBlank	2
127	TechnoNinja64	2
127	Zoeyfortnite	2
139	maxdacatv2	1
139	Paleshield	1
139	FirsTimeGamingTV	1
139	TheSecondLord	1
139	ThePoliteG	1
139	MattieHD	1
139	Kamflame10	1
139	ROY4LE	1
139	Covalents	1
139	Paintz	1
139	XboxPanda	1
139	Werbe	1
139	HoldThatPee	1
139	Nicky19	1
139	Quaintster	1
139	Xclax101	1
139	MightyWertu	1
139	SingedBread	1
139	silverpopcorn	1
139	Razzgriz	1
139	Optiprimus	1
139	IdeallyGrey	1
139	stahouo	1
139	stellarjay	1
139	FallenCorps	1
