rank	username	minecraft:mined/minecraft:mossy_stone_brick_stairs
1	Comma__	128
2	TheShyPig	111
3	kekhon	99
4	Eraxa	87
5	HellsSponge	45
6	cedric72	40
7	SuperPooch06	35
8	layabout100	30
9	thescout7	27
10	killmeiamtraitor	21
11	Werbe	20
11	AssEatrAndLicker	20
13	Akoot_	18
14	Freak_Genius	10
15	500am	9
16	Blackberry1310	8
16	Winklepicker279	8
16	Zythose	8
16	Maenara	8
20	pintsizedrogue	7
20	Tommhh	7
20	Inchef	7
20	noam464	7
24	Khelvoryk	6
24	Wowful	6
24	djancak	6
24	Legendosh	6
28	TheSecondLord	5
28	Onennon	5
28	Kowcio_	5
28	Quotary	5
32	Reamdin	4
32	MyNameIsJobo	4
32	Jiminie	4
32	Nycteus_	4
36	thewindmillman	3
36	Skylord_Luke	3
38	Bandito_Roamer	2
38	EMC_	2
38	RebelAndroid	2
38	LotusProject	2
38	burbankbuilder28	2
38	Shogunite	2
38	DanTheBuilderino	2
38	Soplight	2
46	Drlzyy	1
46	Merv__	1
46	TildaAndrea	1
46	Houstonion	1
46	MSK__	1
46	SquadMonster	1
46	BilboBaggins23	1
46	mariominejedi	1
46	ormr_kin	1
46	YahooScreen9000	1
46	Fuhrer_Teemo	1
46	HELLO_I_AM_BEAR	1
46	Cyntrical	1
46	Blaiku	1
46	monky_irl	1
46	kyouma777	1
46	Kubeusz2010	1
46	diggydog67	1
