rank	username	minecraft:mined/minecraft:black_concrete
1	joethahobo	10027
2	beeperbeeper5	6604
3	jnp_gaming	5314
4	PigDab	5096
5	12Magner05	4557
6	thescout7	3571
7	YungMaki	3479
8	LordSpeed37	2756
9	TheShyPig	2275
10	TheSecondLord	2255
11	TheBiggestFeller	2216
12	lillips	2042
13	oxfordschool	1857
14	NameGenerat0r	1799
15	Rumpletaezer	1745
16	lordpipe	1713
17	Tolhart	1712
18	Smoke____	1634
19	emrekn	1519
20	SSytex_X	1408
21	Di_infiri	1384
22	Nicserso	1310
23	noam464	1300
24	MilleGrug	1124
25	Swexti	1104
26	Mahoose	1080
27	Powowowow	1064
28	Eraxa	1039
29	Deathkob	1018
30	1442	1013
31	_Karmaa	1012
32	Spacewardharpy7	987
33	_NieToksikpl_	935
34	Blaiku	923
35	h2p_emrld	854
36	HellsSponge	838
37	eitanzaki	754
38	Winklepicker279	703
39	audiocracked	648
40	Frozil12	644
41	TheEnderman548	615
42	Franco093	552
43	burbankbuilder28	546
44	Dan_Scha	537
45	ogoa	524
46	pixelviolin	522
47	ssleepless	498
48	Ze_BaronKrigler	480
49	Blackberry1310	475
50	Ssor69	467
51	Iagoku	441
52	Merv__	396
53	Inchef	394
54	I_Am_Mushkin	392
55	kekhon	379
56	himak1	377
57	Werbe	369
58	500am	355
59	Snowflowe	349
60	Soplight	326
61	LexMakesHistory	320
62	stavgod	313
63	ROY4LE	312
64	oreee	309
65	m_be9	275
66	ooga47	269
67	claivin	268
68	Hiryu27	266
69	titanlax	258
69	Maenara	258
71	xxPipperDipperxx	253
72	NotTrixi	241
73	Arceus1975	221
74	Hyp3rion_	219
75	Fullut	215
76	TeenMomTom	211
77	stellarjay	175
78	EveryonesUncle	173
79	Onennon	171
80	WyngGoy	170
81	Incinere	169
82	Hoid_the_Roamer	167
83	6king6colt6	164
84	sp00ky_ghost977	161
85	fluddd	148
86	King_Pancake1	146
87	Jackattack53	144
88	chipklip	137
89	Leyna3	136
90	BlancoFlaco	128
91	epiksk8erduck	127
92	MakeHistory157	126
93	rarrq	125
94	starbits140	123
95	teslawolf38	120
96	PlzNoBM	116
97	Motsaro	115
98	gabriels543	108
99	PortlyPete69	103
100	Marbz_	97
101	SingedBread	95
102	mwrty	92
103	AJplaysMC_	88
104	TheDankPlatypus	84
105	Rich_Kat	83
106	Sral7	81
107	M_Patata	77
107	MasterNueve	77
109	KingMatthew506	74
110	_Bguette_	73
111	seramalen	72
111	Freak_Genius	72
113	AssFullaCum	70
114	ShedJr_	69
114	ibarker21	69
114	Hermanni__	69
117	Kynigito	67
118	SammiWolfGirl	66
119	Winston_Ingram	65
120	bigstankyy	64
121	The_slideV3	62
122	EMC_	57
123	CoffeeNoir	56
123	stahouo	56
125	Elprone266	53
126	SkateboardR6	50
127	egglapras	43
128	Xalithia	42
129	thewindmillman	41
130	SyK7	40
130	EcksD	40
130	Lowjinx	40
133	nataliecool	37
134	BobDeBouwer1337	35
135	Kim_Jong_eel	32
136	Inbefour	28
137	Jackywho	25
137	Truckoss	25
137	El_Jalapeno	25
140	Menthas	24
140	Sheldor097	24
142	Njensen7	23
143	pintsizedrogue	22
144	ImpavidArcher	21
144	Covalents	21
146	gcaisawesome	18
146	Ahketen	18
148	Enderslayerxz3	17
149	JayToe	16
150	Akoot_	15
150	RedcatVII	15
152	heckface	13
152	PlasticOtari	13
154	Ezekson	11
154	kinas45y5	11
156	Kamflame10	10
156	r123moore	10
156	lcvezra	10
156	TechnoNinja64	10
160	jimintyy	9
161	Rebytre	8
162	NotMeanttoChange	7
163	diggydog67	6
164	seanitoo	5
164	Sabby65	5
164	MattieHD	5
167	Groovy_MoonBird	4
167	PhantomsGhost_	4
167	SteveCraftBlocks	4
167	The11thDoctor	4
167	Jiminbub	4
167	Babushka0430	4
167	KG1999	4
167	The_SlideV5	4
175	The_Thund	3
175	Tommhh	3
175	_Razar	3
175	ese_wn_po	3
175	Nycteus_	3
175	Spenduh	3
181	lotarp	2
181	SuperPooch06	2
181	GreedyFern8581	2
181	tobinwilliams	2
181	Sky_light_KING	2
181	Nicky19	2
181	Bl1tzFX	2
181	yulgur1	2
181	masskedman	2
181	Shogunite	2
181	carpet4_69	2
181	Toriankel	2
181	Xovalt_	2
181	FelixPSY375	2
181	Legendosh	2
181	Wanjibon	2
197	elicobnoah	1
197	dabloons	1
197	xXTheWolfmanXx	1
197	NinjaKnifeKill	1
197	SteveWithClout	1
197	Crafter45	1
197	NasdaqCrash	1
197	a24680	1
197	platinumzero	1
197	0nly_sn1per	1
197	CaptainSteve345	1
197	AmbroseForLife	1
197	Armattillo	1
197	Zythose	1
197	_Boipl_	1
197	Afinnity	1
197	HyperCave	1
197	BRRRN179	1
197	HolyVenom	1
197	NomadicRobin_	1
197	TheCordicus	1
197	PartyPhoenix	1
197	OtherAnimus	1
197	C0oOK13M0N5T3R	1
197	Xclax101	1
197	OG_Songsee	1
197	Nagasaki_Riku	1
197	sebastiensaborio	1
197	jcool7	1
197	laron58	1
197	Skippeh	1
197	Zoeyfortnite	1
