rank	username	minecraft:mined/minecraft:jungle_planks
1	himak1	4447
2	Prodiginus	3133
3	EveryonesUncle	2083
4	cedric72	1208
5	Enderslayerxz3	992
6	kekhon	873
7	bigstankyy	683
8	Onennon	681
9	eitanzaki	675
10	Airem_Core	597
11	oxfordschool	578
12	TechnoNinja64	560
13	gabriels543	539
14	Inbefour	510
15	CoffeeNoir	483
16	Xalithia	481
17	Factoroni	416
18	TheShyPig	409
19	thescout7	369
20	El_Jalapeno	352
21	fluddd	348
22	Hermanni__	342
23	Windo_licker	340
24	Akoot_	329
25	Hyp3rion_	322
26	CookTheChef3	268
27	Toiton	262
28	SvenskaHugo	259
29	soundad	224
30	kinas45y5	199
31	Kubelz	198
31	Winklepicker279	198
33	PigDab	194
34	ShedJr_	177
35	BronkerBrum	172
36	Spacewardharpy7	170
37	xxPipperDipperxx	167
38	Freak_Genius	165
39	Blackberry1310	157
40	joethahobo	147
41	PlasticOtari	139
42	Quaintster	130
43	Aangezet	122
44	ItsJunoIGuess	116
45	ROY4LE	107
46	HellsSponge	104
47	fred870d	103
48	Smoke____	92
49	Drawgirll	87
50	IWorkAtIkea	85
51	SvenskaAlvar	83
52	Steelynan	79
53	MyNameIsJobo	74
54	Merv__	72
54	Bumpy419	72
56	H72l9w	71
57	The_slideV3	67
58	benediktine1	66
58	fkGrim	66
60	mwrty	65
61	Hpdinosaur	62
61	titanlax	62
63	lordpipe	60
63	Soplight	60
65	JESS_THE_RERE	58
66	1442	56
66	OfficerAnvil	56
68	jcool7	55
69	LilLizardWizard	54
70	WhyTho_1	53
71	MovingFish7	50
72	_Karmaa	49
73	beeperbeeper5	47
73	Zythose	47
75	T045RTY	46
75	TableTim	46
75	MightyWertu	46
78	Th6masss	44
79	Kferno	41
80	pintsizedrogue	40
80	KingMatthew506	40
82	Racengan	39
83	Fullut	38
84	SaucyDark	37
84	ItsDeltaMC	37
84	tsitrawhy	37
87	Lord_Jord	35
88	Incinere	34
88	Dabatha	34
88	Blu3beast	34
88	EcksD	34
92	thewindmillman	31
93	WyngGoy	30
93	YungMaki	30
95	wezzzi	29
95	Frozil12	29
97	rarrq	28
97	Deathkob	28
99	500am	27
100	jessemgaming	26
100	Awyrlas	26
102	Hoid_the_Roamer	25
103	Njensen7	24
104	AnnieBathory	23
104	Vorlice	23
106	Mahoose	22
106	Rasmanden	22
108	Mr_Byzantine	21
108	CryoInferno_	21
108	Maenara	21
108	Blaiku	21
108	Rainaldus	21
113	ooga47	20
114	Reamdin	19
114	Kamflame10	19
114	Legendosh	19
117	the_fireminer	18
117	Swexti	18
117	Jiminie	18
117	jnp_gaming	18
121	AuroraValkyrie	17
121	PegLegPete93	17
121	breadbowlgamer	17
121	loveseeker	17
125	BlossomOwO	16
125	Fuhrer_Teemo	16
125	_TCARREIRA_	16
128	rats_life	15
128	I_Am_Mushkin	15
128	Kowcio_	15
128	Skippeh	15
132	chrolus	14
132	Lez_	14
132	Bazongoman	14
135	ImpavidArcher	13
135	zemey	13
135	Kouridragon	13
135	Zoeyfortnite	13
135	00000000-0000-0000-0009-01fbab7ea71d	13
140	KarlKaek	12
140	Rebytre	12
140	lcvezra	12
143	Lepthymo	11
143	_Virify_	11
143	MixerDixer	11
143	Comma__	11
143	Di_infiri	11
143	Queen_Jalapeno	11
143	ApophisNova	11
143	stahouo	11
143	Ezekson	11
143	MyNamaSheff	11
143	diggydog67	11
154	Groovy_MoonBird	10
154	sp00ky_ghost977	10
154	Cocoamallows	10
154	RadarHz	10
158	TAKrules	9
158	TheSecondLord	9
158	r123moore	9
158	SuperPooch06	9
158	MyNameIsDakar	9
163	type11	8
163	M_Patata	8
163	King_Pancake1	8
163	Werbe	8
163	RobotMinion101	8
163	chipklip	8
163	Fuad_R	8
163	MasterNueve	8
163	Kukkelikuk	8
163	FallenCorps	8
173	teslawolf38	7
173	Nycteus_	7
173	Typadopoulos	7
