rank	username	minecraft:mined/minecraft:acacia_sapling
1	Yamdalorian	146
2	AnnieBathory	110
3	beeperbeeper5	109
4	Mr_Byzantine	99
5	TheShyPig	79
6	k_ce	63
7	gcaisawesome	57
8	kalzor	49
9	YungMaki	40
10	Blackberry1310	37
11	j5ylim	34
12	MyNameIsJobo	30
12	Steelynan	30
14	Hyp3rion_	24
14	FreakGenius	24
16	Hanselhoof	21
17	EcksD	20
18	Meatlaugh	19
19	luseis	17
20	skitzxo	16
21	himak1	15
21	EveryonesUncle	15
23	Hiryu27	14
24	r123moore	13
24	Werbe	13
24	PlasticOtari	13
27	KarlKaek	12
27	Zedducius	12
27	_3Stump_	12
27	smogfrog	12
31	KingMatthew506	11
32	NatalieTW	10
32	kekhon	10
32	eiC_	10
32	legal_tax_evader	10
32	El_Jalapeno	10
37	Myrosia	9
37	Di_infiri	9
37	Malware_Mara	9
37	Lutres_	9
37	DennyKai	9
42	PazinGaming	8
42	RebelAndroid	8
42	Mahoose	8
45	ThePoliteG	7
45	Nicserso	7
47	Bandito_Roamer	6
47	ImpavidArcher	6
47	jushykins	6
47	Winklepicker279	6
47	ee_echo_oo	6
47	Snowflowe	6
47	ApophisNova	6
47	ReflexCode	6
47	MyNamaSheff	6
56	Tommhh	5
56	Malorn_Aetherius	5
56	Fullut	5
56	Ecplosive	5
56	Jonafrog99	5
56	hanaryheatwave	5
56	IdeallyGrey	5
56	Soplight	5
56	stellarjay	5
65	BlancoFlaco	4
65	Touched_Bread	4
65	andy_rex	4
65	ooga47	4
65	Onennon	4
65	cedric72	4
65	DemTechAlpha	4
65	Soul_Atreus	4
65	Moetis	4
65	FelixPSY375	4
65	mountaingirl311	4
65	JayToe	4
77	Mowelan	3
77	Merv__	3
77	ImNotYuqii	3
77	Lukeee33	3
77	TheSecondLord	3
77	Kamflame	3
77	2Stout	3
77	DSYisDizzy	3
77	Moofyman	3
77	Invisie	3
77	Lord_Jord	3
77	_Meow_Mix	3
77	mawileite	3
77	Mikael_Kuningas	3
77	tartanboy	3
77	TheWickedBird	3
93	pintsizedrogue	2
93	dudcreeper	2
93	Cowison	2
93	_stets	2
93	Frozil20	2
93	eitanzaki	2
93	abdomera	2
93	spaece	2
93	Dblikstad	2
93	cheerytomato	2
93	m_be9	2
93	Ravenbie	2
93	12Magner05	2
93	ProfessorBee	2
93	excelsionprime	2
93	noam464	2
93	Kubelz	2
93	thewindmillman	2
93	Zythose	2
93	Hoid_the_Roamer	2
93	JESS_THE_RERE	2
93	DarlaMeow	2
93	halfbakedlasagna	2
93	mihimihimihi	2
93	MakeHistory157	2
93	_Mythic____	2
93	Pumpkin_P_Patch	2
93	Slapface522	2
93	LeeMcGee30	2
93	Ezekson	2
93	Quotary	2
93	MelodyGaysharks	2
125	Alexanderjac	1
125	Harotio	1
125	CueMix	1
125	FujiBS	1
125	AuroraValkyrie	1
125	Creativebuilder2	1
125	Hpdinosaur	1
125	TinMaster	1
125	titanlax	1
125	TheThomas69	1
125	corvidpartyfor6	1
125	slkiey	1
125	tazdeviltron	1
125	theonlymagikarp	1
125	danotz	1
125	Zaridey	1
125	BlueZabu	1
125	mariominejedi	1
125	SuperPooch06	1
125	AJplaysMC_	1
125	Arceus1975	1
125	ibarker21	1
125	bubbLyPrototype	1
125	KillerNekoRain	1
125	Bumpy419	1
125	Felenov	1
125	DeeDeeThonk	1
125	Shiirazu	1
125	Leyna3	1
125	Elastiq	1
125	TheSeismicDuck	1
125	FreddyFart	1
125	Inbefour	1
125	Fuhrer_Teemo	1
125	ori0le	1
125	Toowny	1
125	_Karmaa	1
125	StinkyDiplomat	1
125	Groundler	1
125	sp00ky_ghost977	1
125	Eraxa	1
125	pixelviolin	1
125	cum_chalice	1
125	starbits140	1
125	SammiWolfGirl	1
125	non089	1
125	Seindi	1
125	Drawgirl	1
125	xX_Stalin69_Xx	1
125	Vellu21	1
125	Kubeusz2010	1
125	OfficerAnvil	1
125	taengoos	1
125	Legendosh	1
125	TechnoNinja64	1
