rank	username	minecraft:mined/minecraft:glass
1	HellsSponge	14604
2	Di_infiri	12019
3	thescout7	9047
4	Nycteus_	8000
5	gcaisawesome	6867
6	joethahobo	5430
7	thewindmillman	5364
8	Smoke____	5152
9	Freak_Genius	5048
10	pintsizedrogue	3777
11	eitanzaki	3673
12	noam464	3179
13	MightyWertu	3144
14	Werbe	2992
15	Bumpy419	2723
16	Groundler	2482
17	MyNameIsJobo	2249
18	TheShyPig	2114
19	Frozil12	2014
20	TechnoNinja64	1995
21	El_Jalapeno	1988
22	ImpavidArcher	1960
23	lizardfightclub	1942
24	Ezekson	1901
25	_naturell	1766
26	Blaiku	1665
27	Kakolbus	1594
28	Wooptey	1481
29	RebelAndroid	1433
30	Inbefour	1407
31	Historical_Sand	1388
32	TheDankPlatypus	1360
33	Franco093	1293
34	Dedalus36	1258
35	Skippeh	1215
36	Blackberry1310	1197
37	500am	1138
38	Hyp3rion_	1127
39	Lord_Jord	1123
40	beeperbeeper5	1073
41	Mahoose	1071
42	Comma__	1062
43	Jackattack53	1047
44	Soplight	963
45	PortlyPete69	922
46	Whiterooster001	917
47	_TCARREIRA_	901
48	Warlord324	885
49	Rebytre	880
50	Spacewardharpy7	875
51	Hermanni__	863
52	ShowRegent	857
53	Zoeyfortnite	850
54	Jovaphobic	847
55	ApophisNova	829
55	MyNamaSheff	829
57	TheEnderman548	811
58	Powowowow	803
59	mwrty	778
60	fffMike	758
61	_Nuf	743
62	Arceus1975	724
63	Racengan	676
64	TastefulBas	673
65	YungMaki	656
66	Xclax101	644
67	301851	627
68	Eczbek	615
69	Merv__	593
70	ayamefag	588
71	PhantomsGhost_	586
72	Vorlice	571
73	Snowflowe	556
74	dragonstalker21	551
75	JESS_THE_RERE	541
76	Akoot_	530
77	I_Am_Mushkin	522
78	Barlycorn	507
79	TheSeismicDuck	492
80	EcksD	480
81	lotarp	460
82	himak1	454
83	PigDab	450
84	bigstankyy	444
85	Jimi7hits	443
86	Hisiste	435
87	EMC_	419
88	xxPipperDipperxx	416
89	Omar_Alone	414
90	ShedJr_	400
91	MustaLoordi	395
92	Blu3beast	392
93	MangoTheFish	385
94	awesomeoneme	375
95	CrateOfBoxes	374
95	Sky_light_KING	374
97	kekhon	372
98	diggydog67	365
99	Skylord_Luke	352
100	Maenara	337
101	sandmire	335
102	_Karmaa	331
103	IAmTheWalrus910	330
104	Steelynan	328
105	Quotary	322
106	Nicky_H225	319
107	mariominejedi	316
108	robotemo	308
109	Dusk_95	301
110	Ssor69	298
110	eviltunix	298
112	NoChumpChange	296
113	Covalents	282
114	07shiny	280
115	Jackster03	278
116	Sral7	277
117	Fuhrer_Teemo	274
118	sp00ky_ghost977	266
118	stavgod	266
118	PlzNoBM	266
121	Marbz_	263
121	tsitrawhy	263
123	MattieHD	261
124	Zythose	260
125	jcool7	258
126	1442	256
127	egglapras	255
128	EveryonesUncle	245
129	benediktine1	242
130	TheTrueClipse	238
130	Fuad_R	238
132	EfficientC52	236
132	MilleGrug	236
134	Fildyr	233
135	selectrix	232
136	titanlax	231
136	Mewar	231
138	chipklip	224
139	UCP_TheKingK	223
139	trexgb	223
141	__tomato	219
142	ROY4LE	218
142	Onennon	218
144	FishyBoy3811	216
145	Hiryu27	211
146	_NieToksikpl_	210
147	TheSecondLord	208
148	SkateboardR6	206
149	Sabby65	205
149	picardred	205
149	Sheldor097	205
152	ZaneABrain	204
152	Njensen7	204
154	DanTheBuilderino	203
155	_8man	198
155	audiocracked	198
157	Swexti	197
158	Hyugo	196
158	Awyrlas	196
160	CoffeeNoir	191
161	pixelviolin	190
161	PlasticOtari	190
163	Wowful	177
163	OverallConcept	177
165	wezzzi	175
166	Megarboh	171
167	Rumpletaezer	170
167	fluddd	170
169	Fullut	160
170	theonlymagikarp	159
171	Rasmanden	157
172	gabriels543	155
172	swimingduck	155
174	CliffEmAll	153
175	fallingemma	151
176	JEWISHBadenBeele	149
177	cedric72	146
177	Luigipunch989	146
177	oxfordschool	146
180	XboxPanda	144
180	ZeroKraken	144
182	claivin	142
183	AlexxO_o	140
183	Segotep999	140
185	Scathra	139
186	the__Reaper4999	137
187	diamondgolem35	136
188	BreadBacon	135
189	ToastedGamingYT	134
189	lordpipe	134
191	Enderslayerxz3	132
192	BlankityMcBlank	130
193	Spenduh	123
193	MeetTheWollo	123
195	_stets	122
195	KarlKaek	122
197	dudcreeper	120
198	prizm_	119
199	rarrq	118
199	_Dean_123	118
201	AuroraValkyrie	116
201	Touched_Bread	116
201	GeromeMerris	116
201	Dogcorn69420	116
205	anbbang	115
206	LittleBug562	114
206	Iagoku	114
206	Ryker	114
206	seramalen	114
210	MinttyFressh	112
211	ClemenPine	111
211	Deathkob	111
213	6king6colt6	110
213	Notta	110
213	bloodbiter	110
213	loveseeker	110
217	fred870d	109
217	fkGrim	109
219	IROMAKKEM	106
220	MakeHistory157	105
221	T045RTY	104
222	Legendosh	103
223	teslawolf38	102
224	EcksDofficial	101
225	2Stout	96
225	Chromary	96
227	Froste131	95
