rank	username	minecraft:mined/minecraft:blackstone_wall
1	thewindmillman	275
2	Legendosh	213
3	noam464	210
4	joethahobo	128
5	PlasticOtari	121
6	Deathkob	98
7	set67	97
8	weabis	82
9	gusstationwerker	53
10	Mahoose	49
11	CuzIm2Kev	43
12	Billious	41
13	Smoke____	34
14	pintsizedrogue	26
15	ogoa	19
16	TheWildMateo	17
17	mwrty	16
18	lizardfightclub	15
19	EveryonesUncle	14
20	eitanzaki	12
20	Werbe	12
20	fffMike	12
23	ShedJr_	11
23	TheSecondLord	11
25	Di_infiri	10
26	beeperbeeper5	8
26	Blackberry1310	8
26	Shogunite	8
26	Enderxz3	8
30	jessewegottacook	7
30	rarrq	7
32	T045RTY	6
32	Mattesco	6
32	HellsSponge	6
35	chipklip	5
35	soundad	5
35	KarlKaek	5
35	RoofTyler	5
39	Xalithia	4
39	Jackattack53	4
41	CattSoup	3
42	Lez_	2
42	Myszoaz	2
42	titanlax	2
42	benediktine1	2
42	gustarlep	2
42	FreakGenius	2
42	wwwwinnebagoooo	2
42	UCP_TheKingK	2
42	TheOuterCore	2
51	Gundam_Steven	1
51	500am	1
51	SuperPooch06	1
51	halfwayup	1
51	Quinasin	1
51	Nycteus_	1
51	Dusk_95	1
51	YungMaki	1
